DEPARTAMEN,PROVINCIA,MUNICIPIO,CAPITAL,F_LEY_PROV,LEY_MUN,F_LEY_MUN,X,Y,MUN_ALTERN,PIB_USD2017,POB_ESTIMADA,POP_WORLDPOP_PONDERADOR,CELDAS_INTERSECTADAS,PIBPC_USD2017,PIB_USD2017_RHZ_WORLDPOP,PIBPC_USD2017_RHZ_WORLDPOP,FACTOR_BENCHMARK_INE_2021,PART_INE_2021,POB_ESTIMADA_RHZ_WORLDPOP,POB_RETRO_2021,POB_2012_INE,POB_2024_CENSO,PIB_MUNICIPAL_BENCHMARK_USD2017_2021,PIBpc_RETRO_2021_USD2017,PIBpc_RETRO_2021_STATUS,PIBpc_RETRO_2021_FORMULA
Santa Cruz,Chiquitos,Roboré,Roboré,1880-10-12,CSL,1947-11-26,-59.6118829434,-18.2154045302,Roboré,104679400.73455828,37721.79426119848,21663.40825584956,18,2775.037688019892,101026788.06413876,2678.207387607149,1.0361548925825552,0.3110055708407956,37721.79426119848,17928.453863,15641,18763,104679400.73455828,5838.7299615768425,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Santa Cruz,Cordillera,Charagua,Charagua,1894-09-06,CSL,1894-09-06,-61.6112030896,-19.0918298979,Charagua,241249057.32119584,75607.38906403031,44595.052507715765,126,3190.8132301313444,232831074.82115605,3079.47513733051,1.0361548925825552,0.3110055708407956,75607.38906403031,36756.552602,32186,38420,241249057.32119584,6563.429925946351,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Santa Cruz,Cordillera,Gutiérrez,Gutiérrez,1894-09-06,CSL,1940-11-06,-63.5038259691,-19.3944339098,Gutiérrez,18970666.44616128,7390.608063122125,10225.231708571802,11,2566.8613846297267,18308716.75843561,2477.295048264431,1.0361548925825552,0.3110055708407956,7390.608063122125,13828.040505,12273,14389,18970666.44616128,1371.8983857201233,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Santa Cruz,Cordillera,Camiri,Camiri,1894-09-06,CSL,1940-11-06,-63.4880061739,-20.0349026325,Camiri,48009839.62570449,15361.817103072946,28370.41362529293,4,3125.2708780200683,46334616.54178246,3016.219776012942,1.0361548925825552,0.3110055708407956,15361.817103072946,32666.436772,33838,32285,48009839.62570449,1469.6993112672333,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Santa Cruz,Chiquitos,San José,San José,1880-10-12,CSL,1880-10-12,-60.4248016976,-17.7022304912,San Jose de Chiquitos,128035987.84476145,49613.39496001918,40387.25208066535,39,2580.673786745271,123568386.11806317,2490.625489701731,1.0361548925825552,0.3110055708407956,49613.39496001918,37556.780227,28922,40974,128035987.84476145,3409.1311095281994,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,Santa Cruz de la Sierra,1944-12-06,1669,1995-10-31,-62.9981240725,-17.8070610996,Santa Cruz de la Sierra,7304597860.954088,1908143.4147338087,2034579.3426365133,6,3828.117847197088,7049716131.4828205,3694.542075322088,1.0361548925825552,0.3110055708407956,1908143.4147338087,1567623.499271,1444425,1610982,7304597860.954088,4659.663410475066,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Santa Cruz,Chiquitos,Pailón,Pailón,1880-10-12,1518,1993-11-24,-61.9213221678,-17.7571427945,Pailón,83588901.42193899,24274.07646031054,53483.4719151717,32,3443.546103952151,80672206.46287599,3323.3893200748344,1.0361548925825552,0.3110055708407956,24274.07646031054,49754.21177,37866,54495,83588901.42193899,1680.0366933446783,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Potosí,Chayanta,Colquechaca,Colquechaca,1880-09-03,ML,1882-11-30,-66.0135409815,-18.8080739463,Colquechaca,87303821.58436093,39594.27621853939,28307.16512805688,9,2204.9606640740235,84726932.5035822,2139.878300488043,1.0304140490471525,0.0627775447835225,39594.27621853939,36817.963877,35199,37374,87303821.58436093,2371.2289434541885,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Potosí,Chayanta,Pocoata,Pocoata,1880-09-03,CSL,1880-09-03,-66.1557315121,-18.6393723233,Pocoata,53319153.77963285,25452.71606181016,21539.50014938752,6,2094.8315947952656,51745367.63055423,2032.9998380092004,1.0304140490471525,0.0627775447835225,25452.71606181016,30933.944811,26330,32641,53319153.77963285,1723.6454679393132,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Potosí,Daniel Campos,Llica,Llica,1949-12-26,CSL,1924-09-20,-68.4115663272,-20.0498265126,Llica,10529716.467252906,4141.209088309219,7621.667299746565,17,2542.667187942447,10218917.800072676,2467.616964552948,1.0304140490471525,0.0627775447835225,4141.209088309219,4177.719188,4150,4187,10529716.467252906,2520.4462035705833,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
