departamento,municipio,codigo_entidad,poblacion_retro_2021,pib_estimado_usd2017_2021,pibpc_usd2017_2021,nbi_pobre_pct,nbi_pobre_moderada_pct,nbi_pobre_indigente_pct,nbi_pobre_marginal_pct,nivel_pibpc,nivel_nbi,categoria_brecha,score_brecha_bienestar_producto,metodo
Santa Cruz,Roboré,1715,17928.453863,104679400.73455828,5838.7299615768425,24.7,22.6,2.1,0.1,alto,bajo,Producto alto con mejor bienestar relativo,58.585,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Santa Cruz,Charagua,,36756.552602,241249057.32119584,6563.429925946351,,,,,alto,sin_dato,Sin dato,,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Santa Cruz,Gutiérrez,,13828.040505,18970666.44616128,1371.898385720123,,,,,bajo,sin_dato,Sin dato,,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Santa Cruz,Camiri,1723,32666.436772,48009839.62570449,1469.6993112672333,20.1,19.4,0.7,0.0,bajo,bajo,"Bajo producto, menor pobreza relativa",11.055,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Santa Cruz,San José,1713,37556.780227,128035987.84476145,3409.1311095281994,53.5,43.9,9.4,0.2,medio,medio,Situación intermedia,53.971,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Santa Cruz,Santa Cruz de la Sierra,1701,1567623.499271,7304597860.954088,4659.663410475066,10.4,10.1,0.3,0.0,alto,bajo,Producto alto con mejor bienestar relativo,46.3442,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Santa Cruz,Pailón,1714,49754.21177,83588901.42193899,1680.0366933446785,40.1,36.9,3.1,0.1,bajo,medio,"Bajo producto, menor pobreza relativa",24.3698,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,Colquechaca,1511,36817.963877,87303821.58436093,2371.2289434541885,67.8,44.1,22.0,1.7,bajo,alto,Rezago estructural,48.4915,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,Pocoata,1513,30933.944811,53319153.77963285,1723.6454679393132,82.2,64.7,17.1,0.5,bajo,alto,Rezago estructural,48.0854,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,Llica,1535,4177.719188,10529716.467252906,2520.4462035705837,33.2,30.8,2.4,0.0,medio,bajo,Bienestar relativo con producto medio,31.38,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Cochabamba,Quillacollo,1302,158802.042462,404292893.8875956,2545.8922795930966,14.6,13.7,0.9,0.0,medio,bajo,Bienestar relativo con producto medio,21.4772,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Cochabamba,Sacaba,1312,206369.619121,770195184.3953326,3732.115161496822,20.3,18.6,1.7,0.0,alto,bajo,Producto alto con mejor bienestar relativo,39.8636,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Cochabamba,Tiquipaya,1304,59752.675908,266805201.3052588,4465.159045215903,14.2,13.1,1.1,0.0,alto,bajo,Producto alto con mejor bienestar relativo,45.9335,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Cochabamba,Colcapirhua,1306,62534.643408,236618861.51994443,3783.804442233257,7.0,6.8,0.2,0.0,alto,bajo,Producto alto con mejor bienestar relativo,33.2132,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Cochabamba,Sipe Sipe,,51916.22253,117092718.09361576,2255.416753905632,,,,,bajo,sin_dato,Sin dato,,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
