codigo_entidad,nombre_entidad,sigla,tipo,grupo_eta,departamento,fuente
1223,Gobierno Autónomo Municipal de Villa Libertad Licoma,LIC,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1224,Gobierno Autónomo Municipal de Achacachi,AHÍ,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1225,Gobierno Autónomo Municipal de Ancoraimes,ANCO,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1226,Gobierno Autónomo Municipal de Sorata,SOR,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1227,Gobierno Autónomo Municipal de Guanay,GNY,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1228,Gobierno Autónomo Municipal de Tacacoma,TAT,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1229,Gobierno Autónomo Municipal de Tipuani,TIP,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1230,Gobierno Autónomo Municipal de Quiabaya,QBY,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1231,Gobierno Autónomo Municipal de Combaya,COM,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1232,Gobierno Autónomo Municipal de Copacabana,COP,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1233,Gobierno Autónomo Municipal de San Pedro de Tiquina,SPT,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1234,Gobierno Autónomo Municipal de Tito Yupanqui,YUP,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1235,Gobierno Autónomo Municipal de Chuma,CHU,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1236,Gobierno Autónomo Municipal de Ayata,AYA,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1237,Gobierno Autónomo Municipal de Aucapata,AUC,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1238,Gobierno Autónomo Municipal de Corocoro,COR,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1239,Gobierno Autónomo Municipal de Caquiaviri,CAQ,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1240,Gobierno Autónomo Municipal de Calacoto,CAC,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1241,Gobierno Autónomo Municipal de Comanche,CMC,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1242,Gobierno Autónomo Municipal de Charaña,CHA,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1243,Gobierno Autónomo Municipal de Waldo Ballivián,BAL,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1244,Gobierno Autónomo Municipal de Nazacara de Pacajes,NAZ,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1245,Gobierno Autónomo Municipal de Santiago de Callapa,SCA,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1246,Gobierno Autónomo Municipal de Puerto Acosta,ACO,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1247,Gobierno Autónomo Municipal de Mocomoco,MOC,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
