status,departamento_nbi,provincia_nbi,municipio_nbi,nbi_key,codigo_entidad,nombre_entidad,departamento_sigep,grupo_eta,tipo,nbi_inadecuados_materiales_vivienda,nbi_insuficientes_espacios_vivienda,nbi_inadecuados_agua_saneamiento,nbi_inadecuados_insumos_energeticos,nbi_insuficiencia_educacion,nbi_inadecuada_atencion_salud,nbi_no_pobre_pct,nbi_necesidades_basicas_satisfechas_pct,nbi_umbral_pct,nbi_pobre_pct,nbi_pobre_moderada_pct,nbi_pobre_indigente_pct,nbi_pobre_marginal_pct
match_exacto,CHUQUISACA,Oropeza,Sucre,sucre,1101,Gobierno Autónomo Municipal de Sucre,Chuquisaca,GAM,municipal,21136,172407,39933,16306,73096,39845,83.8,46.0,37.8,16.2,14.4,1.7,0.0
match_exacto,CHUQUISACA,Oropeza,Yotala,yotala,1102,Gobierno Autónomo Municipal de Yotala,Chuquisaca,GAM,municipal,1265,5497,2820,2370,4570,734,66.5,20.0,46.5,33.5,30.9,2.6,0.0
match_exacto,CHUQUISACA,Oropeza,Poroma,poroma,1103,Gobierno Autónomo Municipal de Poroma,Chuquisaca,GAM,municipal,7700,9950,11274,11957,10031,2602,11.8,2.2,9.6,88.2,60.4,26.8,1.0
match_contiene,CHUQUISACA,Azurduy,Azurduy,azurduy,1104,Gobierno Autónomo Municipal de Villa Azurduy,Chuquisaca,GAM,municipal,4051,4662,4965,5963,5600,995,28.3,9.9,18.4,71.7,48.8,22.5,0.5
match_contiene,CHUQUISACA,Azurduy,Tarvita,tarvita,1105,Gobierno Autónomo Municipal de Tarvita (Villa Orías),Chuquisaca,GAM,municipal,9809,11706,10221,11107,11293,1339,30.3,6.0,24.3,69.7,53.2,16.4,0.2
match_contiene,CHUQUISACA,Zudáñez,Zudáñez,zudanez,1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),Chuquisaca,GAM,municipal,5315,9793,7389,8424,8720,1016,40.4,8.1,32.4,59.6,53.1,6.4,0.0
match_exacto,CHUQUISACA,Zudáñez,Presto,presto,1107,Gobierno Autónomo Municipal de Presto,Chuquisaca,GAM,municipal,6534,8890,7195,8318,8581,1584,30.6,4.7,25.8,69.4,53.6,15.3,0.5
match_contiene,CHUQUISACA,Zudáñez,Mojocoya,mojocoya,1108,Gobierno Autónomo Municipal de Villa Mojocoya,Chuquisaca,GAM,municipal,3758,5679,4519,4632,5168,690,45.9,7.8,38.1,54.1,49.3,4.8,0.0
match_exacto,CHUQUISACA,Zudáñez,Icla,icla,1109,Gobierno Autónomo Municipal de Icla,Chuquisaca,GAM,municipal,3806,5050,4142,6598,6372,1068,38.8,6.1,32.6,61.2,50.8,10.0,0.4
match_exacto,CHUQUISACA,Tomina,Padilla,padilla,1110,Gobierno Autónomo Municipal de Padilla,Chuquisaca,GAM,municipal,3270,4643,3978,4511,5785,632,50.5,17.2,33.3,49.5,44.0,5.4,0.0
match_exacto,CHUQUISACA,Tomina,Tomina,tomina,1111,Gobierno Autónomo Municipal de Tomina,Chuquisaca,GAM,municipal,3373,4979,3321,5622,5952,571,44.1,8.2,35.9,55.9,53.2,2.7,0.0
