status,departamento_pibpc,provincia_pibpc,municipio_pibpc,municipio_alt_pibpc,pibpc_key,pibpc_alt_key,pib_usd2017,poblacion_estimada_2021,pibpc_usd2017,codigo_entidad,nombre_entidad,departamento_sigep,grupo_eta,tipo,presupuesto_total_sigep
match_exacto,Santa Cruz,Chiquitos,Roboré,Roboré,robore,robore,101026788.06413876,37721.79426119848,2678.207387607149,1715,Gobierno Autónomo Municipal de Roboré,Santa Cruz,GAM,municipal,20940824.0
match_contiene,Santa Cruz,Cordillera,Charagua,Charagua,charagua,charagua,232831074.82115605,75607.38906403031,3079.47513733051,3701,Gobierno Autónomo Indígena Originario Campesino de Charagua Iyambae,Santa Cruz,GAIOC,indigena_originario_campesino,38611940.0
match_manual,Santa Cruz,Cordillera,Gutiérrez,Gutiérrez,gutierrez,gutierrez,18308716.758435614,7390.608063122125,2477.295048264431,3702,Gobierno Autónomo Indígena Guaraní Kereimba Iyaambae,Santa Cruz,GAIOC,indigena_originario_campesino,19326257.0
match_exacto,Santa Cruz,Cordillera,Camiri,Camiri,camiri,camiri,46334616.54178246,15361.817103072946,3016.219776012942,1723,Gobierno Autónomo Municipal de Camiri,Santa Cruz,GAM,municipal,41500000.0
match_exacto,Santa Cruz,Chiquitos,San José,San Jose de Chiquitos,san jose de chiquitos,san jose de chiquitos,123568386.11806317,49613.39496001918,2490.625489701731,1713,Gobierno Autónomo Municipal de San José,Santa Cruz,GAM,municipal,51078195.0
match_exacto,Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,Santa Cruz de la Sierra,santa cruz de la sierra,santa cruz de la sierra,7049716131.4828205,1908143.4147338087,3694.5420753220874,1701,Gobierno Autónomo Municipal de Santa Cruz de La Sierra,Santa Cruz,GAM,municipal,4791974704.0
match_exacto,Santa Cruz,Chiquitos,Pailón,Pailón,pailon,pailon,80672206.46287599,24274.07646031054,3323.3893200748344,1714,Gobierno Autónomo Municipal de Pailón,Santa Cruz,GAM,municipal,85183116.0
match_exacto,Potosí,Chayanta,Colquechaca,Colquechaca,colquechaca,colquechaca,84726932.5035822,39594.27621853939,2139.878300488043,1511,Gobierno Autónomo Municipal de Colquechaca,Potosí,GAM,municipal,29450067.0
match_exacto,Potosí,Chayanta,Pocoata,Pocoata,pocoata,pocoata,51745367.63055423,25452.71606181016,2032.9998380092004,1513,Gobierno Autónomo Municipal de Pocoata,Potosí,GAM,municipal,37323341.0
match_exacto,Potosí,Daniel Campos,Llica,Llica,llica,llica,10218917.800072676,4141.209088309219,2467.616964552948,1535,Gobierno Autónomo Municipal de Llica,Potosí,GAM,municipal,5316867.0
match_exacto,Cochabamba,Quillacollo,Quillacollo,Quillacollo,quillacollo,quillacollo,469963600.09486616,147691.178099336,3182.06954635281,1302,Gobierno Autónomo Municipal de Quillacollo,Cochabamba,GAM,municipal,315423173.0
match_exacto,Cochabamba,Chapare,Sacaba,Sacaba,sacaba,sacaba,895300677.0749612,211004.4775303943,4243.04113141863,1312,Gobierno Autónomo Municipal de Sacaba,Cochabamba,GAM,municipal,330508349.0
match_exacto,Cochabamba,Quillacollo,Tiquipaya,Tiquipaya,tiquipaya,tiquipaya,310143301.61419153,69788.98488332331,4444.015085370628,1304,Gobierno Autónomo Municipal de Tiquipaya,Cochabamba,GAM,municipal,128326653.0
match_exacto,Cochabamba,Quillacollo,Colcapirhua,Colcapirhua,colcapirhua,colcapirhua,275053689.27206254,60699.29046242052,4531.415230337013,1306,Gobierno Autónomo Municipal de Colcapirhua,Cochabamba,GAM,municipal,136788496.0
match_exacto,Cochabamba,Quillacollo,Sipe Sipe,Sipe Sipe,sipe sipe,sipe sipe,136112497.08353415,43111.05112584412,3157.2530367263007,1303,Gobierno Autónomo Municipal de Sipe Sipe,Cochabamba,GAM,municipal,70839127.0
match_exacto,Cochabamba,Quillacollo,Vinto,Vinto,vinto,vinto,170057601.66010508,54181.345931395546,3138.6743672892903,1305,Gobierno Autónomo Municipal de Vinto,Cochabamba,GAM,municipal,81379151.0
match_exacto,Cochabamba,Esteban Arze,Tarata,Tarata,tarata,tarata,29689349.58546257,8333.225527973373,3562.768040514436,1320,Gobierno Autónomo Municipal de Tarata,Cochabamba,GAM,municipal,11827815.0
match_exacto,Cochabamba,Carrasco,Totora,Totora,totora,totora,66740065.690271504,30268.58966703473,2204.9281590069445,1331,Gobierno Autónomo Municipal de Totora,Cochabamba,GAM,municipal,19686463.0
match_exacto,Santa Cruz,Ichilo,Buena Vista,Buena Vista,buena vista,buena vista,40684703.577815466,18152.94522666135,2241.2177787030155,1710,Gobierno Autónomo Municipal de Buena Vista,Santa Cruz,GAM,municipal,26553990.0
match_exacto,Santa Cruz,Ichilo,San Carlos,San Carlos,san carlos,san carlos,60380363.42424907,27615.272759470277,2186.484412091945,1711,Gobierno Autónomo Municipal de San Carlos,Santa Cruz,GAM,municipal,25580506.0
match_exacto,Beni,Iténez,Magdalena,Magdalena,magdalena,magdalena,33707123.07313917,14196.932950399036,2374.2538751788466,1817,Gobierno Autónomo Municipal de Magdalena,Beni,GAM,municipal,27504517.0
match_exacto,Santa Cruz,Sara,Portachuelo,Portachuelo,portachuelo,portachuelo,63472651.15619073,25707.571530921632,2469.0255584758143,1716,Gobierno Autónomo Municipal de Portachuelo,Santa Cruz,GAM,municipal,28807102.0
match_exacto,Potosí,Sur Lipez,San Antonio de Esmoruco,San Antonio de Esmoruco,san antonio de esmoruco,san antonio de esmoruco,2646014.679335969,870.7453634913206,3038.792728940375,1525,Gobierno Autónomo Municipal de San Antonio de Esmoruco,Potosí,GAM,municipal,2254656.0
match_contiene,Tarija,Avilés,Uriondo,Uriondo,uriondo,uriondo,52648697.35360342,19668.273410058297,2676.833713663907,1607,Gobierno Autónomo Municipal de Uriondo (Concepción),Tarija,GAM,municipal,33139396.0
match_exacto,Potosí,Sur Lipez,Mojinete,Mojinete,mojinete,mojinete,2912687.2727342406,1009.3472475977048,2885.713791429637,1524,Gobierno Autónomo Municipal de Mojinete,Potosí,GAM,municipal,1237707.0
match_exacto,Tarija,Gran Chaco,Yacuiba,Yacuiba,yacuiba,yacuiba,344863755.6272038,97264.72267270045,3545.620098950816,1604,Gobierno Autónomo Municipal de Yacuiba,Tarija,GAM,municipal,194028218.0
