status,departamento_pob2021,municipio_pob2021,pob2021_key,poblacion_proyectada_2021,codigo_entidad,nombre_entidad,departamento_sigep,grupo_eta,tipo
match_exacto,Chuquisaca,Sucre,sucre,353996,1101,Gobierno Autónomo Municipal de Sucre,Chuquisaca,GAM,municipal
match_exacto,Chuquisaca,Yotala,yotala,9033,1102,Gobierno Autónomo Municipal de Yotala,Chuquisaca,GAM,municipal
match_exacto,Chuquisaca,Poroma,poroma,15793,1103,Gobierno Autónomo Municipal de Poroma,Chuquisaca,GAM,municipal
match_contiene,Chuquisaca,Azurduy,azurduy,11093,1104,Gobierno Autónomo Municipal de Villa Azurduy,Chuquisaca,GAM,municipal
match_contiene,Chuquisaca,Tarvita,tarvita,13870,1105,Gobierno Autónomo Municipal de Tarvita (Villa Orías),Chuquisaca,GAM,municipal
match_contiene,Chuquisaca,Zudañez,zudanez,7682,1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),Chuquisaca,GAM,municipal
match_exacto,Chuquisaca,Presto,presto,10102,1107,Gobierno Autónomo Municipal de Presto,Chuquisaca,GAM,municipal
match_contiene,Chuquisaca,Mojocoya,mojocoya,7765,1108,Gobierno Autónomo Municipal de Villa Mojocoya,Chuquisaca,GAM,municipal
match_exacto,Chuquisaca,Icla,icla,8001,1109,Gobierno Autónomo Municipal de Icla,Chuquisaca,GAM,municipal
match_exacto,Chuquisaca,Padilla,padilla,10192,1110,Gobierno Autónomo Municipal de Padilla,Chuquisaca,GAM,municipal
match_exacto,Chuquisaca,Tomina,tomina,8944,1111,Gobierno Autónomo Municipal de Tomina,Chuquisaca,GAM,municipal
match_exacto,Chuquisaca,Sopachuy,sopachuy,6077,1112,Gobierno Autónomo Municipal de Sopachuy,Chuquisaca,GAM,municipal
match_exacto,Chuquisaca,Villa Alcalá,villa alcala,2644,1113,Gobierno Autónomo Municipal de Villa Alcalá,Chuquisaca,GAM,municipal
match_exacto,Chuquisaca,El Villar,el villar,4026,1114,Gobierno Autónomo Municipal de El Villar,Chuquisaca,GAM,municipal
match_exacto,Chuquisaca,Monteagudo,monteagudo,24916,1115,Gobierno Autónomo Municipal de Monteagudo,Chuquisaca,GAM,municipal
match_contiene,Chuquisaca,Huacareta,huacareta,8218,1116,Gobierno Autónomo Municipal de San Pablo de Huacareta,Chuquisaca,GAM,municipal
match_exacto,Chuquisaca,Tarabuco,tarabuco,15421,1117,Gobierno Autónomo Municipal de Tarabuco,Chuquisaca,GAM,municipal
match_exacto,Chuquisaca,Yamparáez,yamparaez,8513,1118,Gobierno Autónomo Municipal de Yamparáez,Chuquisaca,GAM,municipal
match_exacto,Chuquisaca,Camargo,camargo,15445,1119,Gobierno Autónomo Municipal de Camargo,Chuquisaca,GAM,municipal
match_exacto,Chuquisaca,San Lucas,san lucas,31324,1120,Gobierno Autónomo Municipal de San Lucas,Chuquisaca,GAM,municipal
match_exacto,Chuquisaca,Incahuasi,incahuasi,12538,1121,Gobierno Autónomo Municipal de Incahuasi,Chuquisaca,GAM,municipal
match_exacto,Chuquisaca,Villa Charcas,villa charcas,15539,1129,Gobierno Autónomo Municipal de Villa Charcas,Chuquisaca,GAM,municipal
match_exacto,Chuquisaca,Villa Serrano,villa serrano,10242,1122,Gobierno Autónomo Municipal de Villa Serrano,Chuquisaca,GAM,municipal
match_contiene,Chuquisaca,Villa Abecia,villa abecia,3245,1123,Gobierno Autónomo Municipal de Camataqui (Villa Abecia),Chuquisaca,GAM,municipal
match_exacto,Chuquisaca,Culpina,culpina,17288,1124,Gobierno Autónomo Municipal de Culpina,Chuquisaca,GAM,municipal
match_exacto,Chuquisaca,Las Carreras,las carreras,3078,1125,Gobierno Autónomo Municipal de Las Carreras,Chuquisaca,GAM,municipal
match_manual,Chuquisaca,Muyupampa,muyupampa,9435,1126,Gobierno Autónomo Municipal de Villa Vaca Guzmán,Chuquisaca,GAM,municipal
