DEPARTAMEN,PROVINCIA,MUNICIPIO,CAPITAL,F_LEY_PROV,LEY_MUN,F_LEY_MUN,X,Y,MUN_ALTERN,PIBpc_2021_wmean,decile,departamento_geo,provincia_geo,municipio_geo,depto_key,mun_key,codigo_entidad,nombre_entidad,departamento,tipo,grupo_eta,presupuesto_total,provincia_ine,municipio_ine,poblacion_2001,poblacion_2012,poblacion_2024,hombres_2024,mujeres_2024,presupuesto_per_capita
Santa Cruz,Chiquitos,RoborÃ©,RoborÃ©,1880-10-12,CSL,1947-11-26,-59.6118829434,-18.2154045302,RoborÃ©,4.098967110621743e-06,10,Santa Cruz,Chiquitos,Roboré,santa cruz,robore,1715,Gobierno Autónomo Municipal de Roboré,Santa Cruz,municipal,GAM,20940824.0,Chiquitos,Roboré,15240.0,15641.0,18763.0,10024.0,8739.0,1116.0701380376
Santa Cruz,Cordillera,Charagua,Charagua,1894-09-06,CSL,1894-09-06,-61.6112030896,-19.0918298979,Charagua,3.5528216812963365e-06,10,Santa Cruz,Cordillera,Charagua,santa cruz,charagua,,,,,,,,,,,,,,
Santa Cruz,Cordillera,GutiÃ©rrez,GutiÃ©rrez,1894-09-06,CSL,1940-11-06,-63.5038259691,-19.3944339098,GutiÃ©rrez,2.6770517251861747e-06,8,Santa Cruz,Cordillera,Gutiérrez,santa cruz,gutierrez,,,,,,,,,,,,,,
Santa Cruz,Cordillera,Camiri,Camiri,1894-09-06,CSL,1940-11-06,-63.4880061739,-20.0349026325,Camiri,3.3271492156927707e-06,10,Santa Cruz,Cordillera,Camiri,santa cruz,camiri,1723,Gobierno Autónomo Municipal de Camiri,Santa Cruz,municipal,GAM,41500000.0,Cordillera,Camiri,30897.0,33838.0,32285.0,15739.0,16546.0,1285.4266687316
Santa Cruz,Chiquitos,San JosÃ©,San JosÃ©,1880-10-12,CSL,1880-10-12,-60.4248016976,-17.7022304912,San Jose de Chiquitos,3.6580386222340167e-06,10,Santa Cruz,Chiquitos,San José,santa cruz,san jose,1713,Gobierno Autónomo Municipal de San José,Santa Cruz,municipal,GAM,51078195.0,Chiquitos,San José,16599.0,28922.0,40974.0,21959.0,19015.0,1246.6001610778
Santa Cruz,AndrÃ©s IbÃ¡Ã±ez,Santa Cruz de la Sierra,Santa Cruz de la Sierra,1944-12-06,1669,1995-10-31,-62.9981240725,-17.8070610996,Santa Cruz de la Sierra,2.97742303700943e-06,9,Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,santa cruz,santa cruz de la sierra,1701,Gobierno Autónomo Municipal de Santa Cruz de La Sierra,Santa Cruz,municipal,GAM,4791974704.0,Andrés Ibáñez,Santa Cruz de la Sierra,1131778.0,1444425.0,1610982.0,799830.0,811152.0,2974.567502306
Santa Cruz,Chiquitos,PailÃ³n,PailÃ³n,1880-10-12,1518,1993-11-24,-61.9213221678,-17.7571427945,PailÃ³n,3.305842255940661e-06,10,Santa Cruz,Chiquitos,Pailón,santa cruz,pailon,1714,Gobierno Autónomo Municipal de Pailón,Santa Cruz,municipal,GAM,85183116.0,Chiquitos,Pailón,28520.0,37866.0,54495.0,28647.0,25848.0,1563.136361134
PotosÃ­,Chayanta,Colquechaca,Colquechaca,1880-09-03,ML,1882-11-30,-66.0135409815,-18.8080739463,Colquechaca,2.071408971460187e-06,3,Potosí,Chayanta,Colquechaca,potosi,colquechaca,1511,Gobierno Autónomo Municipal de Colquechaca,Potosí,municipal,GAM,29450067.0,Chayanta,Colquechaca,13816.0,15260.0,16363.0,9160.0,7203.0,1799.7963087453
PotosÃ­,Chayanta,Pocoata,Pocoata,1880-09-03,CSL,1880-09-03,-66.1557315121,-18.6393723233,Pocoata,2.1372300125221955e-06,4,Potosí,Chayanta,Pocoata,potosi,pocoata,1513,Gobierno Autónomo Municipal de Pocoata,Potosí,municipal,GAM,37323341.0,Chayanta,Pocoata,20116.0,26330.0,32641.0,16977.0,15664.0,1143.4496798505
PotosÃ­,Daniel Campos,Llica,Llica,1949-12-26,CSL,1924-09-20,-68.4115663272,-20.0498265126,Llica,2.314032371941721e-06,6,Potosí,Daniel Campos,Llica,potosi,llica,1535,Gobierno Autónomo Municipal de Llica,Potosí,municipal,GAM,5316867.0,Daniel Campos,Llica,2901.0,4150.0,4187.0,2142.0,2045.0,1269.8512061142
Cochabamba,Quillacollo,Quillacollo,Quillacollo,1905-09-14,ML,1905-09-14,-66.3292151638,-17.2112538514,Quillacollo,2.1595456018985715e-06,4,Cochabamba,Quillacollo,Quillacollo,cochabamba,quillacollo,1302,Gobierno Autónomo Municipal de Quillacollo,Cochabamba,municipal,GAM,315423173.0,Quillacollo,Quillacollo,104206.0,137182.0,166741.0,80383.0,86358.0,1891.6953418775
Cochabamba,Chapare,Sacaba,Sacaba,1854-06-10,MDS,1855-10-09,-66.0304329847,-17.3316334267,Sacaba,2.2438719042838784e-06,5,Cochabamba,Chapare,Sacaba,cochabamba,sacaba,1312,Gobierno Autónomo Municipal de Sacaba,Cochabamba,municipal,GAM,330508349.0,Chapare,Sacaba,117100.0,172466.0,219092.0,106199.0,112893.0,1508.5368201486
Cochabamba,Quillacollo,Tiquipaya,Tiquipaya,1905-09-14,ML,1957-09-23,-66.2020267998,-17.1885965246,Tiquipaya,2.110699369950453e-06,4,Cochabamba,Quillacollo,Tiquipaya,cochabamba,tiquipaya,1304,Gobierno Autónomo Municipal de Tiquipaya,Cochabamba,municipal,GAM,128326653.0,Quillacollo,Tiquipaya,37791.0,53904.0,61840.0,29805.0,32035.0,2075.1399256145
Cochabamba,Quillacollo,Colcapirhua,Colcapirhua,1905-09-14,ML,1987-03-18,-66.2325649728,-17.3904980751,Colcapirhua,1.8456441921443911e-06,1,Cochabamba,Quillacollo,Colcapirhua,cochabamba,colcapirhua,1306,Gobierno Autónomo Municipal de Colcapirhua,Cochabamba,municipal,GAM,136788496.0,Quillacollo,Colcapirhua,41980.0,51990.0,66505.0,32204.0,34301.0,2056.815216901
Cochabamba,Quillacollo,Sipe Sipe,Sipesipe,1905-09-14,ML,1905-09-14,-66.3916973204,-17.5028771621,Sipe Sipe,3.240122168790549e-06,9,Cochabamba,Quillacollo,Sipe Sipe,cochabamba,sipesipe,1303,Gobierno Autónomo Municipal de Sipe Sipe,Cochabamba,municipal,GAM,70839127.0,Quillacollo,Sipesipe,31337.0,41571.0,55908.0,26687.0,29221.0,1267.0660191744
Cochabamba,Quillacollo,Vinto,Vinto,1905-09-14,ML,1960-12-10,-66.374089284,-17.3421997647,Vinto,1.8511130974729895e-06,1,Cochabamba,Quillacollo,Vinto,cochabamba,vinto,1305,Gobierno Autónomo Municipal de Vinto,Cochabamba,municipal,GAM,81379151.0,Quillacollo,Vinto,31489.0,51968.0,56064.0,26947.0,29117.0,1451.5402218893
Cochabamba,Esteban Arze,Tarata,Tarata,1950-11-10,ML,1914-11-24,-66.0653599105,-17.6918290586,Tarata,2.4885825951059815e-06,7,Cochabamba,Esteban Arze,Tarata,cochabamba,tarata,1320,Gobierno Autónomo Municipal de Tarata,Cochabamba,municipal,GAM,11827815.0,Esteban Arze,Tarata,8715.0,8242.0,11273.0,5617.0,5656.0,1049.2162689612
Cochabamba,Carrasco,Totora,Totora,1926-09-14,MDS,1876-06-24,-65.1443281518,-17.5863350567,Totora,2.2621934476774186e-06,6,Cochabamba,Carrasco,Totora,cochabamba,totora,1331,Gobierno Autónomo Municipal de Totora,Cochabamba,municipal,GAM,19686463.0,Carrasco,Totora,12927.0,14665.0,14821.0,7823.0,6998.0,1328.2816948924
Santa Cruz,Ichilo,Buena Vista,Buena Vista,1926-04-08,CSL,1926-05-03,-63.755955197,-17.6977582315,Buena Vista,2.4475912141497247e-06,7,Santa Cruz,Ichilo,Buena Vista,santa cruz,buena vista,1710,Gobierno Autónomo Municipal de Buena Vista,Santa Cruz,municipal,GAM,26553990.0,Ichilo,Buena Vista,13273.0,12879.0,13651.0,7381.0,6270.0,1945.204746905
