departamento_geo,provincia_geo,municipio_geo,capital_geo,municipio_alternativo,pibpc_2021,decil_pibpc_2021,has_presupuesto,codigo_entidad,nombre_entidad,departamento,tipo,grupo_eta,provincia_ine,municipio_ine,poblacion_2024,presupuesto_total,presupuesto_per_capita,ingresos_total,autonomia_fiscal_pct,autonomia_fiscal_aplica,dependencia_tgn_pct,coparticipacion_pct,idh_pct,regalias_pct,recursos_especificos_gam_gaioc_pct
Santa Cruz,Chiquitos,Roboré,Roboré,Roboré,4.098967110621743e-06,10.0,True,1715,Gobierno Autónomo Municipal de Roboré,Santa Cruz,municipal,GAM,Chiquitos,Roboré,18763.0,20940824.0,1116.0701380376,20940824.0,15.605499,True,81.133641,74.245541,6.753206,0.0,15.605499
Santa Cruz,Cordillera,Camiri,Camiri,Camiri,3.3271492156927707e-06,10.0,True,1723,Gobierno Autónomo Municipal de Camiri,Santa Cruz,municipal,GAM,Cordillera,Camiri,32285.0,41500000.0,1285.4266687316,41500000.0,27.409639,True,72.083957,65.913427,6.070988,0.0,27.409639
Santa Cruz,Chiquitos,San José,San José,San Jose de Chiquitos,3.6580386222340167e-06,10.0,True,1713,Gobierno Autónomo Municipal de San José,Santa Cruz,municipal,GAM,Chiquitos,San José,40974.0,51078195.0,1246.6001610778,51078195.0,11.646729,True,86.169917,66.670594,6.064206,0.0,11.646729
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,Santa Cruz de la Sierra,Santa Cruz de la Sierra,2.97742303700943e-06,9.0,True,1701,Gobierno Autónomo Municipal de Santa Cruz de La Sierra,Santa Cruz,municipal,GAM,Andrés Ibáñez,Santa Cruz de la Sierra,1610982.0,4791974704.0,2974.567502306,4791974704.0,39.842861,True,39.076458,36.307034,2.660638,0.001109,39.842861
Santa Cruz,Chiquitos,Pailón,Pailón,Pailón,3.305842255940661e-06,10.0,True,1714,Gobierno Autónomo Municipal de Pailón,Santa Cruz,municipal,GAM,Chiquitos,Pailón,54495.0,85183116.0,1563.136361134,85183116.0,21.71792,True,76.808012,55.588471,4.825484,0.001308,21.71792
Potosí,Chayanta,Colquechaca,Colquechaca,Colquechaca,2.071408971460187e-06,3.0,True,1511,Gobierno Autónomo Municipal de Colquechaca,Potosí,municipal,GAM,Chayanta,Colquechaca,16363.0,29450067.0,1799.7963087453,29450067.0,1.484275,True,87.609889,47.326164,10.147359,10.464411,1.484275
Potosí,Chayanta,Pocoata,Pocoata,Pocoata,2.1372300125221955e-06,4.0,True,1513,Gobierno Autónomo Municipal de Pocoata,Potosí,municipal,GAM,Chayanta,Pocoata,32641.0,37323341.0,1143.4496798505,37323341.0,0.267929,True,99.72959,73.851636,14.397556,0.002481,0.267929
Potosí,Daniel Campos,Llica,Llica,Llica,2.314032371941721e-06,6.0,True,1535,Gobierno Autónomo Municipal de Llica,Potosí,municipal,GAM,Daniel Campos,Llica,4187.0,5316867.0,1269.8512061142,5316867.0,6.817925,True,92.947727,78.413378,13.170764,0.234349,6.817925
Cochabamba,Quillacollo,Quillacollo,Quillacollo,Quillacollo,2.1595456018985715e-06,4.0,True,1302,Gobierno Autónomo Municipal de Quillacollo,Cochabamba,municipal,GAM,Quillacollo,Quillacollo,166741.0,315423173.0,1891.6953418775,315423173.0,41.665842,True,56.244701,48.939861,6.050087,0.0,41.665842
Cochabamba,Chapare,Sacaba,Sacaba,Sacaba,2.2438719042838784e-06,5.0,True,1312,Gobierno Autónomo Municipal de Sacaba,Cochabamba,municipal,GAM,Chapare,Sacaba,219092.0,330508349.0,1508.5368201486,330508349.0,34.341039,True,65.407833,57.988878,6.212572,0.0,34.341039
Cochabamba,Quillacollo,Tiquipaya,Tiquipaya,Tiquipaya,2.110699369950453e-06,4.0,True,1304,Gobierno Autónomo Municipal de Tiquipaya,Cochabamba,municipal,GAM,Quillacollo,Tiquipaya,61840.0,128326653.0,2075.1399256145,128326653.0,39.23651,True,56.275189,43.025339,4.510891,0.0,39.23651
Cochabamba,Quillacollo,Colcapirhua,Colcapirhua,Colcapirhua,1.8456441921443911e-06,1.0,True,1306,Gobierno Autónomo Municipal de Colcapirhua,Cochabamba,municipal,GAM,Quillacollo,Colcapirhua,66505.0,136788496.0,2056.815216901,136788496.0,41.304643,True,53.34779,45.374006,4.550263,0.0,41.304643
Cochabamba,Quillacollo,Sipe Sipe,Sipesipe,Sipe Sipe,3.240122168790549e-06,9.0,True,1303,Gobierno Autónomo Municipal de Sipe Sipe,Cochabamba,municipal,GAM,Quillacollo,Sipesipe,55908.0,70839127.0,1267.0660191744,70839127.0,19.153672,True,80.623875,73.187706,7.375778,0.000885,19.153672
Cochabamba,Quillacollo,Vinto,Vinto,Vinto,1.8511130974729895e-06,1.0,True,1305,Gobierno Autónomo Municipal de Vinto,Cochabamba,municipal,GAM,Quillacollo,Vinto,56064.0,81379151.0,1451.5402218893,81379151.0,28.262767,True,63.580073,56.978389,6.440349,0.0,28.262767
Cochabamba,Esteban Arze,Tarata,Tarata,Tarata,2.4885825951059815e-06,7.0,True,1320,Gobierno Autónomo Municipal de Tarata,Cochabamba,municipal,GAM,Esteban Arze,Tarata,11273.0,11827815.0,1049.2162689612,11827815.0,10.969693,True,88.728975,79.495232,8.926205,0.007195,10.969693
Cochabamba,Carrasco,Totora,Totora,Totora,2.2621934476774186e-06,6.0,True,1331,Gobierno Autónomo Municipal de Totora,Cochabamba,municipal,GAM,Carrasco,Totora,14821.0,19686463.0,1328.2816948924,19686463.0,6.254821,True,93.376403,62.358332,7.048453,0.0,6.254821
Santa Cruz,Ichilo,Buena Vista,Buena Vista,Buena Vista,2.4475912141497247e-06,7.0,True,1710,Gobierno Autónomo Municipal de Buena Vista,Santa Cruz,municipal,GAM,Ichilo,Buena Vista,13651.0,26553990.0,1945.204746905,26553990.0,12.616616,True,86.925558,42.53644,3.869019,0.0,12.616616
Santa Cruz,Ichilo,San Carlos,San Carlos,San Carlos,2.3627524114999687e-06,6.0,True,1711,Gobierno Autónomo Municipal de San Carlos,Santa Cruz,municipal,GAM,Ichilo,San Carlos,18942.0,25580506.0,1350.4648928307,25580506.0,20.757994,True,67.47933,61.744471,5.616136,0.0,20.757994
Beni,Iténez,Magdalena,Magdalena,Magdalena,2.5394383555976674e-06,8.0,True,1817,Gobierno Autónomo Municipal de Magdalena,Beni,municipal,GAM,Iténez,Magdalena,12785.0,27504517.0,2151.3114587407,27504517.0,7.762361,True,64.879252,38.596878,13.85135,0.0,7.762361
