;;;;;;;;;;;;;No Pobre;;;Pobre;;
N°;NIVEL;DEPARTAMENTO;PROVINCIA;MUNICIPIO / TIOC;ÁREA;Inadecuados Materiales de la Vivienda;Insuficientes Espacios en la Vivienda;Inadecuados Servicios de Agua y Saneamiento;Inadecuados Insumos Energéticos;Insuficiencia en educación;Inadecuada atención en salud;Total Población No Pobre;Necesidades Básicas Satisfechas;Umbral;Total Población Pobre;Moderada;Indigente;Marginal
1;Pais;;;;BOLIVIA ;2.313.427;6.994.845;3.139.999;1.948.696;3.380.491;1.756.802;70,2;30;40,1;29,8;26,1;3,6;0,1
2;Pais;;;;Urbana;628.821;4.771.000;1.248.546;202.679;1.647.283;1.115.672;84,2;39,6;44,6;15,8;15,1;0,7;0
3;Pais;;;;Rural;1.684.606;2.223.845;1.891.453;1.746.017;1.733.208;641.130;38,2;8,3;30;61,8;51,1;10,3;0,4
4;Departamento;CHUQUISACA;;;CHUQUISACA;156.371;360.988;192.835;185.712;261.980;73.821;62,4;28,3;34,1;37,6;31,2;6,3;0,2
5;Departamento;CHUQUISACA;;;Urbana;20.126;193.753;36.006;7.002;83.094;40.938;86,4;45,4;41;13,6;12,8;0,8;0
6;Departamento;CHUQUISACA;;;Rural;136.245;167.235;156.829;178.710;178.886;32.883;32,2;6,8;25,5;67,8;54,3;13,1;0,4
7;Provincia;CHUQUISACA;Oropeza;;Oropeza;30.101;187.854;54.027;30.633;87.697;43.181;80,3;43,4;36,8;19,7;16,8;2,8;0,1
8;Provincia;CHUQUISACA;Oropeza;;Urbana;12.931;158.972;28.094;3.782;60.419;36.337;87,4;48,9;38,4;12,6;11,8;0,8;0
9;Provincia;CHUQUISACA;Oropeza;;Rural;17.170;28.882;25.933;26.851;27.278;6.844;34,8;8,3;26,5;65,2;48,9;15,8;0,5
10;Municipio;CHUQUISACA;Oropeza;Sucre;Sucre;21.136;172.407;39.933;16.306;73.096;39.845;83,8;46;37,8;16,2;14,4;1,7;0
11;Municipio;CHUQUISACA;Oropeza;Sucre;Urbana;12.931;158.972;28.094;3.782;60.419;36.337;87,4;48,9;38,4;12,6;11,8;0,8;0
12;Municipio;CHUQUISACA;Oropeza;Sucre;Rural;8.205;13.435;11.839;12.524;12.677;3.508;35,9;7,1;28,8;64,1;49,3;14,5;0,3
13;Municipio;CHUQUISACA;Oropeza;Yotala;Yotala;1.265;5.497;2.820;2.370;4.570;734;66,5;20;46,5;33,5;30,9;2,6;0
