DEPARTAMEN,PROVINCIA,MUNICIPIO,CAPITAL,F_LEY_PROV,LEY_MUN,F_LEY_MUN,X,Y,MUN_ALTERN,PIB_USD2017,POB_ESTIMADA,POP_WORLDPOP_PONDERADOR,CELDAS_INTERSECTADAS,PIBPC_USD2017
Santa Cruz,Chiquitos,Roboré,Roboré,1880-10-12,CSL,1947-11-26,-59.6118829434,-18.2154045302,Roboré,101026788.06413876,37721.79426119848,21663.408255849557,18,2678.2073876071495
Santa Cruz,Cordillera,Charagua,Charagua,1894-09-06,CSL,1894-09-06,-61.6112030896,-19.0918298979,Charagua,232831074.82115605,75607.38906403031,44595.052507715765,126,3079.47513733051
Santa Cruz,Cordillera,Gutiérrez,Gutiérrez,1894-09-06,CSL,1940-11-06,-63.5038259691,-19.3944339098,Gutiérrez,18308716.758435618,7390.608063122125,10225.231708571802,11,2477.295048264431
Santa Cruz,Cordillera,Camiri,Camiri,1894-09-06,CSL,1940-11-06,-63.4880061739,-20.0349026325,Camiri,46334616.54178246,15361.817103072946,28370.41362529293,4,3016.219776012942
Santa Cruz,Chiquitos,San José,San José,1880-10-12,CSL,1880-10-12,-60.4248016976,-17.7022304912,San Jose de Chiquitos,123568386.11806315,49613.39496001918,40387.25208066535,39,2490.625489701731
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,Santa Cruz de la Sierra,1944-12-06,1669,1995-10-31,-62.9981240725,-17.8070610996,Santa Cruz de la Sierra,7049716131.4828205,1908143.4147338092,2034579.3426365133,6,3694.5420753220865
Santa Cruz,Chiquitos,Pailón,Pailón,1880-10-12,1518,1993-11-24,-61.9213221678,-17.7571427945,Pailón,80672206.46287599,24274.07646031054,53483.4719151717,32,3323.3893200748344
Potosí,Chayanta,Colquechaca,Colquechaca,1880-09-03,ML,1882-11-30,-66.0135409815,-18.8080739463,Colquechaca,84726932.5035822,39594.27621853939,28307.165128056877,9,2139.878300488043
Potosí,Chayanta,Pocoata,Pocoata,1880-09-03,CSL,1880-09-03,-66.1557315121,-18.6393723233,Pocoata,51745367.63055423,25452.71606181016,21539.500149387517,6,2032.9998380092004
Potosí,Daniel Campos,Llica,Llica,1949-12-26,CSL,1924-09-20,-68.4115663272,-20.0498265126,Llica,10218917.800072676,4141.209088309219,7621.667299746565,17,2467.616964552948
Cochabamba,Quillacollo,Quillacollo,Quillacollo,1905-09-14,ML,1905-09-14,-66.3292151638,-17.2112538514,Quillacollo,469963600.09486616,147691.178099336,146517.3094334459,4,3182.06954635281
Cochabamba,Chapare,Sacaba,Sacaba,1854-06-10,MDS,1855-10-09,-66.0304329847,-17.3316334267,Sacaba,895300677.0749612,211004.4775303943,185100.54683789387,6,4243.04113141863
Cochabamba,Quillacollo,Tiquipaya,Tiquipaya,1905-09-14,ML,1957-09-23,-66.2020267998,-17.1885965246,Tiquipaya,310143301.61419153,69788.98488332331,60054.21230072228,4,4444.015085370628
Cochabamba,Quillacollo,Colcapirhua,Colcapirhua,1905-09-14,ML,1987-03-18,-66.2325649728,-17.3904980751,Colcapirhua,275053689.27206254,60699.29046242052,53537.472457742726,2,4531.415230337013
Cochabamba,Quillacollo,Sipe Sipe,Sipesipe,1905-09-14,ML,1905-09-14,-66.3916973204,-17.5028771621,Sipe Sipe,136112497.08353415,43111.05112584412,42138.32562210657,3,3157.2530367263007
Cochabamba,Quillacollo,Vinto,Vinto,1905-09-14,ML,1960-12-10,-66.374089284,-17.3421997647,Vinto,170057601.66010508,54181.345931395546,54152.37511802266,1,3138.6743672892903
Cochabamba,Esteban Arze,Tarata,Tarata,1950-11-10,ML,1914-11-24,-66.0653599105,-17.6918290586,Tarata,29689349.58546257,8333.225527973373,8816.059190314394,3,3562.768040514436
Cochabamba,Carrasco,Totora,Totora,1926-09-14,MDS,1876-06-24,-65.1443281518,-17.5863350567,Totora,66740065.690271504,30268.58966703473,15217.44705023639,10,2204.9281590069445
Santa Cruz,Ichilo,Buena Vista,Buena Vista,1926-04-08,CSL,1926-05-03,-63.755955197,-17.6977582315,Buena Vista,40684703.577815466,18152.94522666135,18006.00871155718,11,2241.2177787030155
Santa Cruz,Ichilo,San Carlos,San Carlos,1926-04-08,CSL,1991-11-11,-63.7536020036,-17.2907266939,San Carlos,60380363.42424907,27615.272759470274,27561.02530481982,8,2186.484412091945
Beni,Iténez,Magdalena,Magdalena,1995-10-31,CSDS,1856-07-09,-63.6875290685,-12.9948015999,Magdalena,33707123.07313917,14196.932950399036,22621.008523427205,29,2374.2538751788466
Santa Cruz,Sara,Portachuelo,Portachuelo,1883-09-25,CSL,1883-09-25,-63.4485751723,-17.3568644758,Portachuelo,63472651.15619073,25707.571530921632,24818.089079064775,6,2469.0255584758143
Potosí,Sur Lipez,San Antonio de Esmoruco,San Antonio de Esmoruco,1885-12-04,639,1984-09-20,-66.6344764147,-22.0841476347,San Antonio de Esmoruco,2646014.679335969,870.7453634913206,4456.415686350432,9,3038.792728940375
Tarija,Avilés,Uriondo,Concepción,1957-12-26,CSDS,1945-10-25,-64.7084717376,-21.7429947196,Uriondo,52648697.35360342,19668.273410058297,16729.259282441235,6,2676.833713663907
Potosí,Sur Lipez,Mojinete,Mojinete,1885-12-04,1275,1991-10-10,-66.3510609938,-21.8140904551,Mojinete,2912687.2727342406,1009.3472475977047,2111.3700081825955,4,2885.713791429637
Tarija,Gran Chaco,Yacuiba,Yacuiba,1876-08-12,CSL,1957-02-25,-63.2849222463,-21.794026483,Yacuiba,344863755.6272038,97264.72267270045,102279.29890816596,10,3545.620098950816
Tarija,Avilés,Yunchará,Yunchará,1957-12-26,CSL,1957-12-26,-65.1628324837,-21.790291271,Yunchará,23349642.250010177,11297.560957963746,6441.473208751966,8,2066.7861263940176
Tarija,Gran Chaco,Caraparí,Caraparí,1876-08-12,ML,1880-10-19,-63.8989283738,-21.8159613922,Caraparí,16910650.813091688,5463.413785072558,16919.753724958355,13,3095.2535316464414
Tarija,Méndez,San Lorenzo,Villa San Lorenzo,1880-10-19,CSL,1880-10-19,-64.6952451869,-21.2341634422,Villa San Lorenzo,51854252.48020553,20477.85944314854,27470.589301733235,9,2532.2105869593156
Tarija,Méndez,El Puente,El Puente,1880-10-19,CSL,1947-05-12,-65.0494109735,-21.2784640146,Tomayapo (El Puente),42229654.33165325,15523.939885772143,13005.720365607354,8,2720.292312543492
Potosí,Enrique Baldivieso,San Agustín,San Agustín,1985-02-06,707,1985-02-06,-67.4139586623,-21.4952964406,San Agustín,5592891.660568298,1996.2512000640363,3355.5120743232837,9,2801.6973316729313
Tarija,Cercado,Tarija,Tarija,1880-10-19,CSL,1880-10-19,-64.5939866409,-21.5595060021,Tarija,735662688.6855677,257498.1940327068,225689.8192390361,10,2856.962517539543
Potosí,Chárcas,Toro Toro,Toro Toro,1880-09-03,CSL,1883-11-21,-65.7008566699,-18.2095446631,Toro Toro,24560202.633315895,13525.389362915948,11301.483508565405,6,1815.8591944609973
Potosí,Chárcas,San Pedro,San Pedro,1880-09-03,CSL,1880-09-03,-65.9682190293,-18.3406283882,San Pedro de Buena Vista,53066509.73784762,26400.653711701736,31358.357372779225,10,2010.0452934741763
Chuquisaca,Oropeza,Poroma,Poroma,1912-11-18,ML,1912-11-18,-65.3851521997,-18.6217942288,Poroma,31818525.76854498,13927.070947490516,13851.374212746974,7,2284.653096728733
Potosí,Chayanta,Ravelo,Ravelo,1880-09-03,CSL,1913-11-14,-65.5633725064,-18.7526965756,Ravelo,31874687.18207924,14681.346199720874,19214.60427151881,6,2171.101120324051
Potosí,Chayanta,Ocurí,Ocurí,1880-09-03,257,1963-11-16,-65.7684325587,-18.8898291284,Ocurí,41590443.162219144,22490.795346026756,28471.204368797713,6,1849.2206488182976
Potosí,Daniel Campos,Tahua,Tahua,1949-12-26,129,1961-12-13,-67.943750749,-20.2873876632,Tahua,7681630.462637847,3012.7545341019804,3530.008818771559,10,2549.703394580578
Potosí,Sur Lipez,San Pablo,San Pablo de Lípez,1885-12-04,CSL,1885-12-04,-67.2322664177,-22.1753790097,San Pablo de Lipez,21882342.616714638,7093.902345190024,6032.008067525458,35,3084.669276784142
Cochabamba,Ayopaya,Morochata,Morochata,1826-02-15,ML,1911-01-24,-66.5707802928,-17.2029918222,Morochata,18932407.297259964,8274.195326993684,14054.733782400384,4,2288.1267058676985
