codigo_entidad,nombre_entidad,departamento_sigep,tipo,grupo_eta,presupuesto_total,key,depto_key,nivel,departamento_pop,provincia,municipio,area,poblacion_2001,poblacion_2012,poblacion_2024,hombres_2024,mujeres_2024,presupuesto_per_capita
1101,Gobierno Autónomo Municipal de Sucre,Chuquisaca,municipal,GAM,536787240.0,sucre,chuquisaca,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Sucre,214913,261622,296746.0,142122,154624,1808.9114596321433
1102,Gobierno Autónomo Municipal de Yotala,Chuquisaca,municipal,GAM,12144616.0,yotala,chuquisaca,Municipio/TIOC,Chuquisaca,Oropeza,Yotala,Yotala,9497,9461,9256.0,4654,4602,1312.0803802938635
1103,Gobierno Autónomo Municipal de Poroma,Chuquisaca,municipal,GAM,15293419.0,poroma,chuquisaca,Municipio/TIOC,Chuquisaca,Oropeza,Poroma,Poroma,16966,16532,13649.0,6982,6667,1120.4790827166826
1105,Gobierno Autónomo Municipal de Tarvita (Villa Orías),Chuquisaca,municipal,GAM,19365374.0,tarvita,chuquisaca,Municipio/TIOC,Chuquisaca,Azurduy,Tarvita,Tarvita,16230,14261,16812.0,8268,8544,1151.8780632881276
1107,Gobierno Autónomo Municipal de Presto,Chuquisaca,municipal,GAM,14381363.0,presto,chuquisaca,Municipio/TIOC,Chuquisaca,Zudáñez,Presto,Presto,8892,12385,12539.0,6550,5989,1146.930616476593
1109,Gobierno Autónomo Municipal de Icla,Chuquisaca,municipal,GAM,9947023.0,icla,chuquisaca,Municipio/TIOC,Chuquisaca,Zudáñez,Icla,Icla,8177,7774,9155.0,4681,4474,1086.5126160567995
1110,Gobierno Autónomo Municipal de Padilla,Chuquisaca,municipal,GAM,14200568.0,padilla,chuquisaca,Municipio/TIOC,Chuquisaca,Tomina,Padilla,Padilla,12453,10383,9192.0,4628,4564,1544.8833768494344
1111,Gobierno Autónomo Municipal de Tomina,Chuquisaca,municipal,GAM,9760722.0,tomina,chuquisaca,Municipio/TIOC,Chuquisaca,Tomina,Tomina,Tomina,9060,8494,8509.0,4310,4199,1147.1056528381714
1112,Gobierno Autónomo Municipal de Sopachuy,Chuquisaca,municipal,GAM,9564373.0,sopachuy,chuquisaca,Municipio/TIOC,Chuquisaca,Tomina,Sopachuy,Sopachuy,7241,7312,6942.0,3507,3435,1377.75468164794
1114,Gobierno Autónomo Municipal de El Villar,Chuquisaca,municipal,GAM,8056284.0,el villar,chuquisaca,Municipio/TIOC,Chuquisaca,Tomina,El Villar,El Villar,4585,4465,5654.0,2862,2792,1424.8822072868766
