codigo_entidad,nombre_entidad,departamento_sigep,tipo,grupo_eta,presupuesto_total,key,depto_key,nivel,departamento_pop,provincia,municipio,area,poblacion_2001,poblacion_2012,poblacion_2024,hombres_2024,mujeres_2024
1104,Gobierno Autónomo Municipal de Villa Azurduy,Chuquisaca,municipal,GAM,16184792.0,villa azurduy,chuquisaca,,,,,,,,,,
1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),Chuquisaca,municipal,GAM,15894480.0,villa zudanez,chuquisaca,,,,,,,,,,
1108,Gobierno Autónomo Municipal de Villa Mojocoya,Chuquisaca,municipal,GAM,10515624.0,villa mojocoya,chuquisaca,,,,,,,,,,
1113,Gobierno Autónomo Municipal de Villa Alcalá,Chuquisaca,municipal,GAM,8101707.0,villa alcala,chuquisaca,,,,,,,,,,
1116,Gobierno Autónomo Municipal de San Pablo de Huacareta,Chuquisaca,municipal,GAM,11701686.0,san pablo de huacareta,chuquisaca,,,,,,,,,,
1123,Gobierno Autónomo Municipal de Camataqui (Villa Abecia),Chuquisaca,municipal,GAM,6082776.0,camataqui,chuquisaca,,,,,,,,,,
1201,Gobierno Autónomo Municipal de La Paz,La Paz,municipal,GAM,1724178990.0,la paz,la paz,,,,,,,,,,
1204,Gobierno Autónomo Municipal Ecológico Productivo de Achocalla,La Paz,municipal,GAM,110473572.0,ecologico productivo de achocalla,la paz,,,,,,,,,,
1205,Gobierno Autónomo Municipal de El Alto de La Paz,La Paz,municipal,GAM,1490573041.0,el alto de la paz,la paz,,,,,,,,,,
1207,Gobierno Autónomo Municipal de Guaqui,La Paz,municipal,GAM,8793424.0,guaqui,la paz,,,,,,,,,,
1211,Gobierno Autónomo Municipal de Sica Sica (Villa Aroma),La Paz,municipal,GAM,38535569.0,sica sica,la paz,,,,,,,,,,
1225,Gobierno Autónomo Municipal de Ancoraimes,La Paz,municipal,GAM,22464885.0,ancoraimes,la paz,,,,,,,,,,
1248,Gobierno Autónomo Municipal de Carabuco,La Paz,municipal,GAM,18411309.0,carabuco,la paz,,,,,,,,,,
1269,Gobierno Autónomo Municipal de General Juan José Pérez (Charazani),La Paz,municipal,GAM,15766181.0,general juan jose perez,la paz,,,,,,,,,,
1278,Gobierno Autónomo Municipal de San Andrés de Machaca,La Paz,municipal,GAM,7853726.0,san andres de machaca,la paz,,,,,,,,,,
1279,Gobierno Autónomo Municipal de Jesús de Machaca,La Paz,municipal,GAM,25394213.0,jesus de machaca,la paz,,,,,,,,,,
1303,Gobierno Autónomo Municipal de Sipe Sipe,Cochabamba,municipal,GAM,70839127.0,sipe sipe,cochabamba,,,,,,,,,,
1310,Gobierno Autónomo Municipal de Independencia,Cochabamba,municipal,GAM,25066704.0,independencia,cochabamba,,,,,,,,,,
1421,Gobierno Autónomo Municipal de Yunguyo de Litoral,Oruro,municipal,GAM,1303623.0,yunguyo de litoral,oruro,,,,,,,,,,
1434,Gobierno Autónomo Municipal de Huayllamarca (Santiago de Huayllamarca),Oruro,municipal,GAM,11517896.0,huayllamarca,oruro,,,,,,,,,,
1435,Gobierno Autónomo Municipal de Soracachi,Oruro,municipal,GAM,27060543.0,soracachi,oruro,,,,,,,,,,
1515,Gobierno Autónomo Municipal de San Pedro de Buena Vista,Potosí,municipal,GAM,48207623.0,san pedro de buena vista,potosi,,,,,,,,,,
1523,Gobierno Autónomo Municipal de San Pablo de Lípez,Potosí,municipal,GAM,3842453.0,san pablo de lipez,potosi,,,,,,,,,,
1606,Gobierno Autónomo Municipal de Villamontes,Tarija,municipal,GAM,93009878.0,villamontes,tarija,,,,,,,,,,
1717,Gobierno Autónomo Municipal de Santa Rosa del Sara,Santa Cruz,municipal,GAM,20610729.0,santa rosa del sara,santa cruz,,,,,,,,,,
1727,Gobierno Autónomo Municipal de Moro Moro,Santa Cruz,municipal,GAM,4354001.0,moro moro,santa cruz,,,,,,,,,,
1728,Gobierno Autónomo Municipal de Postrer Valle,Santa Cruz,municipal,GAM,1757150.0,postrer valle,santa cruz,,,,,,,,,,
1731,Gobierno Autónomo Municipal de Pampa Grande,Santa Cruz,municipal,GAM,11020084.0,pampa grande,santa cruz,,,,,,,,,,
1735,Gobierno Autónomo Municipal de General Agustín Saavedra,Santa Cruz,municipal,GAM,28924415.0,general agustin saavedra,santa cruz,,,,,,,,,,
1807,Gobierno Autónomo Municipal de Puerto Rurrenabaque,Beni,municipal,GAM,27712885.0,puerto rurrenabaque,beni,,,,,,,,,,
1911,Gobierno Autónomo Municipal de Santa Rosa del Abuná,Pando,municipal,GAM,5683428.0,santa rosa del abuna,pando,,,,,,,,,,
