codigo_entidad,nombre_entidad,departamento,tipo,grupo_eta,presupuesto_total,provincia_ine,municipio_ine,poblacion_2001,poblacion_2012,poblacion_2024,hombres_2024,mujeres_2024,presupuesto_per_capita
1101,Gobierno Autónomo Municipal de Sucre,Chuquisaca,municipal,GAM,536787240.0,Oropeza,Sucre,214913.0,261622.0,296746.0,142122.0,154624.0,1808.9114596321433
1102,Gobierno Autónomo Municipal de Yotala,Chuquisaca,municipal,GAM,12144616.0,Oropeza,Yotala,9497.0,9461.0,9256.0,4654.0,4602.0,1312.0803802938635
1103,Gobierno Autónomo Municipal de Poroma,Chuquisaca,municipal,GAM,15293419.0,Oropeza,Poroma,16966.0,16532.0,13649.0,6982.0,6667.0,1120.4790827166826
1104,Gobierno Autónomo Municipal de Villa Azurduy,Chuquisaca,municipal,GAM,16184792.0,Azurduy,Azurduy,11349.0,10652.0,7903.0,4004.0,3899.0,2047.9301531064152
1105,Gobierno Autónomo Municipal de Tarvita (Villa Orías),Chuquisaca,municipal,GAM,19365374.0,Azurduy,Tarvita,16230.0,14261.0,16812.0,8268.0,8544.0,1151.8780632881276
1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),Chuquisaca,municipal,GAM,15894480.0,Zudáñez,Zudáñez,7423.0,11362.0,13694.0,7143.0,6551.0,1160.6893530013144
1107,Gobierno Autónomo Municipal de Presto,Chuquisaca,municipal,GAM,14381363.0,Zudáñez,Presto,8892.0,12385.0,12539.0,6550.0,5989.0,1146.930616476593
1108,Gobierno Autónomo Municipal de Villa Mojocoya,Chuquisaca,municipal,GAM,10515624.0,Zudáñez,Mojocoya,7926.0,8068.0,9055.0,4515.0,4540.0,1161.3057979017117
1109,Gobierno Autónomo Municipal de Icla,Chuquisaca,municipal,GAM,9947023.0,Zudáñez,Icla,8177.0,7774.0,9155.0,4681.0,4474.0,1086.5126160567995
1110,Gobierno Autónomo Municipal de Padilla,Chuquisaca,municipal,GAM,14200568.0,Tomina,Padilla,12453.0,10383.0,9192.0,4628.0,4564.0,1544.8833768494344
1111,Gobierno Autónomo Municipal de Tomina,Chuquisaca,municipal,GAM,9760722.0,Tomina,Tomina,9060.0,8494.0,8509.0,4310.0,4199.0,1147.1056528381714
1112,Gobierno Autónomo Municipal de Sopachuy,Chuquisaca,municipal,GAM,9564373.0,Tomina,Sopachuy,7241.0,7312.0,6942.0,3507.0,3435.0,1377.75468164794
1113,Gobierno Autónomo Municipal de Villa Alcalá,Chuquisaca,municipal,GAM,8101707.0,Tomina,Alcalá,4034.0,4902.0,3768.0,1917.0,1851.0,2150.1345541401274
1114,Gobierno Autónomo Municipal de El Villar,Chuquisaca,municipal,GAM,8056284.0,Tomina,El Villar,4585.0,4465.0,5654.0,2862.0,2792.0,1424.8822072868766
1115,Gobierno Autónomo Municipal de Monteagudo,Chuquisaca,municipal,GAM,36974829.0,Hernando Siles,Monteagudo,26504.0,24303.0,24546.0,12649.0,11897.0,1506.348447812271
1116,Gobierno Autónomo Municipal de San Pablo de Huacareta,Chuquisaca,municipal,GAM,11701686.0,Hernando Siles,Huacareta,10007.0,8349.0,7200.0,3732.0,3468.0,1625.2341666666666
