departamento_geo,municipio_geo,municipio_ine
Chuquisaca,Huacaya,Huacareta
Chuquisaca,Villa Ricardo Mugia - Icla,Icla
Cochabamba,TIOC Raqaypampa,Raqaypampa
Cochabamba,Sipe Sipe,Sipesipe
La Paz,Sica Sica,Sicasica
La Paz,Jesús de Machaca,Jesús de Machaka
Oruro,Salinas de Garcí Mendoza,Salinas de Garci Mendoza
Oruro,Huayllamarca,Santiago de Huayllamarca
Oruro,Chipaya,Chipaya
Oruro,Santiago de Andamarca,Santiago de Andamarca
Santa Cruz,Charagua,Charagua
Santa Cruz,Gutiérrez,Gutiérrez
Santa Cruz,Pampa Grande,Pampagrande
