departamento_pibpc,municipio_pibpc,codigo_entidad,nota
Santa Cruz,Gutiérrez,3702,PIBpc municipal Gutiérrez vinculado a GAIOC Kereimba Iyaambae
Oruro,Yunguyo del Litoral,1421,Diferencia SIGEP Yunguyo de Litoral
Chuquisaca,Villa Ricardo Mugia - Icla,1109,Diferencia capa municipal Icla
La Paz,Puerto Mayor de Carabuco,1248,Diferencia capa municipal Carabuco
Tarija,Villa Montes,1606,Diferencia SIGEP Villamontes
Santa Cruz,Moromoro,1727,Diferencia SIGEP Moro Moro
Chuquisaca,Huacaya,3101,PIBpc municipal Huacaya vinculado a GAIOC Guaraní Chaqueño
Santa Cruz,General Saavedra,1735,Diferencia SIGEP General Agustín Saavedra
Oruro,Chipaya,3401,PIBpc municipal Chipaya vinculado a GAIOC Nación Originaria Uru Chipaya
Oruro,Salinas de Garcí Mendoza,3402,PIBpc municipal Salinas vinculado a GAIOC Salinas
Santa Cruz,Postrervalle,1728,Diferencia SIGEP Postrer Valle
