codigo_entidad,municipio_ine_final
1104,Azurduy
1106,Zudañez
1108,Mojocoya
1113,Alcalá
1116,Huacareta
1123,Villa Abecia
1201,Nuestra Señora de La Paz
1204,Achocalla
1205,El Alto
1207,Puerto Mayor de Guaqui
1211,Sicasica
1225,Villa Ancoraimes
1248,Puerto Mayor de Carabuco
1269,Charazani
1278,La (Marka) San Andrés de Machaca
1279,Jesús de Machaka
1303,Sipesipe
1310,Ayopaya
1421,Yunguyo del Litoral
1434,Santiago de Huayllamarca
1435,Paria
1515,San Pedro
1523,San Pablo
1606,Villa Montes
1717,Santa Rosa
1727,Moromoro
1728,Postrervalle
1731,Pampagrande
1735,General Saavedra
1805,Guayaramerín
1807,Puerto Menor de Rurrenabaque
1911,Santa Rosa
