codigo_entidad,nombre_entidad_sigep,departamento,key_sigep,municipio_ine_sugerido,poblacion_2024,score_aprox,municipio_ine_final
1104,Gobierno Autónomo Municipal de Villa Azurduy,Chuquisaca,villa azurduy,Azurduy,7903,0.7,
1104,Gobierno Autónomo Municipal de Villa Azurduy,Chuquisaca,villa azurduy,Villa Charcas,14282,0.6154,
1104,Gobierno Autónomo Municipal de Villa Azurduy,Chuquisaca,villa azurduy,Villa Abecia,5375,0.56,
1104,Gobierno Autónomo Municipal de Villa Azurduy,Chuquisaca,villa azurduy,El Villar,5654,0.5455,
1104,Gobierno Autónomo Municipal de Villa Azurduy,Chuquisaca,villa azurduy,Villa Serrano,9107,0.5385,
1104,Gobierno Autónomo Municipal de Villa Azurduy,Chuquisaca,villa azurduy,Villa Vaca Guzmán,13282,0.5333,
1104,Gobierno Autónomo Municipal de Villa Azurduy,Chuquisaca,villa azurduy,Padilla,9192,0.4,
1104,Gobierno Autónomo Municipal de Villa Azurduy,Chuquisaca,villa azurduy,Las Carreras,5016,0.4,
1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),Chuquisaca,villa zudanez,Zudáñez,13694,0.7,
1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),Chuquisaca,villa zudanez,Villa Abecia,5375,0.64,
1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),Chuquisaca,villa zudanez,Villa Serrano,9107,0.6154,
1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),Chuquisaca,villa zudanez,Villa Vaca Guzmán,13282,0.6,
1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),Chuquisaca,villa zudanez,Villa Charcas,14282,0.5385,
1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),Chuquisaca,villa zudanez,El Villar,5654,0.4545,
1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),Chuquisaca,villa zudanez,Padilla,9192,0.4,
1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),Chuquisaca,villa zudanez,Las Carreras,5016,0.4,
