codigo_entidad,nombre_entidad,departamento,tipo,grupo_eta,ingresos_total,recursos_propios,recursos_especificos,recursos_especificos_gam_gaioc,otros_recursos_especificos,transferencias_tgn,coparticipacion,idh,regalias,otros_recursos,autonomia_fiscal_pct,autonomia_fiscal_aplica,autonomia_fiscal_base,dependencia_tgn_pct,coparticipacion_pct,idh_pct,regalias_pct,recursos_especificos_pct,recursos_especificos_gam_gaioc_pct,otros_recursos_especificos_pct
"908","Gobierno Autónomo Departamental del Beni","Beni","departamental","GAD",520970521.0,None,123972165.0,0.0,22200676.0,392966438.0,0.0,52856612.0,101771489.0,340109826.0,None,False,"No calculado para entidades no GAM/GAIOC",75.429688,0.0,10.145797,19.53498,23.796388,0.0,4.261407
"1818","Gobierno Autónomo Municipal de Baures","Beni","municipal","GAM",11125645.0,146000.0,3410941.0,146000.0,2530.0,7714704.0,5457175.0,1958429.0,3262411.0,299100.0,1.312283,True,"20/210 Recursos Específicos GAM/GAIOC",69.341634,49.050415,17.602836,29.323343,30.658366,1.312283,0.02274
"1820","Gobierno Autónomo Municipal de Exaltación","Beni","municipal","GAM",12319645.0,963313.0,994803.0,963313.0,31490.0,11324842.0,8392988.0,2927541.0,0.0,4313.0,7.819324,True,"20/210 Recursos Específicos GAM/GAIOC",91.925068,68.126866,23.763193,0.0,8.074932,7.819324,0.255608
"1819","Gobierno Autónomo Municipal de Huacaraje","Beni","municipal","GAM",5701760.0,360000.0,360080.0,360000.0,80.0,5341680.0,3847624.0,1380806.0,0.0,113250.0,6.31384,True,"20/210 Recursos Específicos GAM/GAIOC",93.684757,67.481339,24.217189,0.0,6.315243,6.31384,0.001403
"1812","Gobierno Autónomo Municipal de Loreto","Beni","municipal","GAM",4921799.0,73163.0,73473.0,73163.0,310.0,4848326.0,3544171.0,1271905.0,0.0,32250.0,1.486509,True,"20/210 Recursos Específicos GAM/GAIOC",98.507192,72.009666,25.842278,0.0,1.492808,1.486509,0.006299
"1817","Gobierno Autónomo Municipal de Magdalena","Beni","municipal","GAM",27504517.0,2135000.0,2139293.0,2135000.0,4293.0,17844725.0,10615885.0,3809747.0,0.0,3419093.0,7.762361,True,"20/210 Recursos Específicos GAM/GAIOC",64.879252,38.596878,13.85135,0.0,7.77797,7.762361,0.015608
"1805","Gobierno Autónomo Municipal de Puerto Guayaramerín","Beni","municipal","GAM",57405738.0,5500000.0,7609081.0,5500000.0,2057530.0,49796657.0,33886197.0,12160817.0,51551.0,3749643.0,9.580924,True,"20/210 Recursos Específicos GAM/GAIOC",86.745086,59.029286,21.183975,0.089801,13.254914,9.580924,3.584189
"1807","Gobierno Autónomo Municipal de Puerto Rurrenabaque","Beni","municipal","GAM",27712885.0,3405000.0,3886712.0,3405000.0,481712.0,23826173.0,17488934.0,6320911.0,0.0,16328.0,12.286703,True,"20/210 Recursos Específicos GAM/GAIOC",85.975073,63.107591,22.808564,0.0,14.024927,12.286703,1.738224
"1816","Gobierno Autónomo Municipal de Puerto Síles","Beni","municipal","GAM",1357064.0,120000.0,120000.0,120000.0,0.0,1237064.0,910361.0,326703.0,0.0,0.0,8.842619,True,"20/210 Recursos Específicos GAM/GAIOC",91.157381,67.083129,24.074251,0.0,8.842619,8.842619,0.0
"1806","Gobierno Autónomo Municipal de Reyes","Beni","municipal","GAM",13754130.0,932032.0,979020.0,932032.0,46988.0,12775110.0,9372972.0,3363700.0,0.0,38438.0,6.776379,True,"20/210 Recursos Específicos GAM/GAIOC",92.881993,68.1466,24.455927,0.0,7.118007,6.776379,0.341628
"1803","Gobierno Autónomo Municipal de Riberalta","Beni","municipal","GAM",161898609.0,32212280.0,40682906.0,32212280.0,8193287.0,121215703.0,89074831.0,31966487.0,277339.0,174385.0,19.896576,True,"20/210 Recursos Específicos GAM/GAIOC",74.871368,55.018898,19.744757,0.171304,25.128632,19.896576,5.060752
"1813","Gobierno Autónomo Municipal de San Andrés","Beni","municipal","GAM",18999033.0,1246736.0,1322344.0,1246736.0,75608.0,17676689.0,12998619.0,4664844.0,0.0,13226.0,6.562102,True,"20/210 Recursos Específicos GAM/GAIOC",93.039941,68.417266,24.55306,0.0,6.960059,6.562102,0.397957
