codigo,nivel,padre,nombre,label
10000,1,,SERVICIOS PERSONALES,10000 - SERVICIOS PERSONALES
11000,2,10000,Empleados Permanentes,11000 - Empleados Permanentes
11100,3,11000,Haberes Básicos.,11100 - Haberes Básicos.
11200,3,11000,Bono de Antigüedad.,11200 - Bono de Antigüedad.
11210,4,11200,Categorías Magisterio,11210 - Categorías Magisterio
11220,4,11200,Bono de Antigüedad,11220 - Bono de Antigüedad
11300,3,11000,Bonificaciones.,11300 - Bonificaciones.
11310,4,11300,Bono de Frontera,11310 - Bono de Frontera
11320,4,11300,Remuneraciones Colaterales Médicas y de Trabajadores en Salud,11320 - Remuneraciones Colaterales Médicas y de Trabajadores en Salud
11321,5,11320,Categorías Médicas,11321 - Categorías Médicas
11322,5,11320,Escalafón Médico,11322 - Escalafón Médico
11323,5,11320,Escalafón de los Trabajadores en Salud,11323 - Escalafón de los Trabajadores en Salud
11324,5,11320,Otras Remuneraciones,11324 - Otras Remuneraciones
11330,4,11300,Otras Bonificaciones,11330 - Otras Bonificaciones
11331,5,11330,Pago Variable,11331 - Pago Variable
11332,5,11330,Pago Adicional Fijo,11332 - Pago Adicional Fijo
11339,5,11330,Otras Bonificaciones,11339 - Otras Bonificaciones
11400,3,11000,Aguinaldos,11400 - Aguinaldos
11500,3,11000,Primas y Bono de Producción,11500 - Primas y Bono de Producción
11510,4,11500,Primas,11510 - Primas
11520,4,11500,Bono de Producción,11520 - Bono de Producción
11600,3,11000,Asignaciones Familiares,11600 - Asignaciones Familiares
11700,3,11000,Sueldos,11700 - Sueldos
11800,3,11000,Dietas,11800 - Dietas
11810,4,11800,Dietas de Directorio,11810 - Dietas de Directorio
11820,4,11800,Otras Dietas,11820 - Otras Dietas
11900,3,11000,Otros Servicios Personales,11900 - Otros Servicios Personales
11910,4,11900,Horas Extraordinarias,11910 - Horas Extraordinarias
11920,4,11900,Vacaciones no Utilizadas,11920 - Vacaciones no Utilizadas
11930,4,11900,Incentivos Económicos,11930 - Incentivos Económicos
11940,4,11900,Suplencias,11940 - Suplencias
12000,2,10000,Empleados No Permanentes,12000 - Empleados No Permanentes
12100,3,12000,Personal Eventual,12100 - Personal Eventual
13000,2,10000,Previsión Social,13000 - Previsión Social
