objeto_gasto,descripcion_limpia
2.4.1.20,Mantenimiento y reparación de vehículos maquinaria y equipos
2.4.3,Otros gastos por concepto de instalación mantenimiento y reparación
3.1.1.40,Alimentación hospitalaria penitenciaria aeronaves y otras específicas
3.1.1.50,Alimentos y bebidas para la atención de emergencias y desastres naturales
4.2.2.30,Otras construcciones y mejoras de bienes públicos de dominio privado
4.2.2.40,Supervisión de construcciones y mejoras de bienes públicos de dominio privado
4.2.3.20,Supervisión de construcciones y mejoras de bienes de dominio público
4.2.4,Construcciones y mejoras de bienes públicos nacionales de dominio privado - llave en mano
4.6.1.10,Consultoría por producto para construcciones de bienes públicos de dominio privado
4.6.1.20,Consultoría de línea para construcciones de bienes públicos de dominio privado
4.6.2.10,Consultoría por producto para construcciones de bienes públicos de dominio público
4.6.2.20,Consultoría de línea para construcciones de bienes públicos de dominio público
6.1.3,Comisiones y otros gastos de la deuda pública interna a corto plazo
6.1.8,Comisiones y otros gastos de la deuda pública interna a largo plazo
6.2.3,Comisiones y otros gastos de la deuda pública externa a corto plazo
6.2.8,Comisiones y otros gastos de la deuda pública externa a largo plazo
7.1.6.10,A personas e instituciones privadas sin fines de lucro
7.3.1,Transferencias corrientes a órganos ejecutivo del Estado Plurinacional por subsidios o subvenciones
7.7.1,Transferencias de capital al órgano ejecutivo del Estado Plurinacional por subsidios o subvenciones
7.9.1,Transferencias corrientes a gobiernos extranjeros y organismos internacionales por cuotas regulares
