nivel,departamento,provincia,municipio,area,poblacion_2001,poblacion_2012,poblacion_2024,hombres_2024,mujeres_2024
Municipio/TIOC,Beni,Cercado,San Javier,San Javier,2690,5277,7913,4485,3428
Municipio/TIOC,Beni,Cercado,Trinidad,Trinidad,79963,106596,128589,64655,63934
Municipio/TIOC,Beni,General José Ballivián,Puerto Menor de Rurrenabaque,Puerto Menor de Rurrenabaque,13668,19195,21240,11005,10235
Municipio/TIOC,Beni,General José Ballivián,Reyes,Reyes,11127,13246,11478,5999,5479
Municipio/TIOC,Beni,General José Ballivián,San Borja,San Borja,34363,40864,45798,23472,22326
Municipio/TIOC,Beni,General José Ballivián,Santa Rosa,Santa Rosa,9016,9478,11122,5846,5276
Municipio/TIOC,Beni,Iténez,Baures,Baures,5264,5965,7488,4309,3179
Municipio/TIOC,Beni,Iténez,Huacaraje,Huacaraje,3706,4111,4630,2527,2103
Municipio/TIOC,Beni,Iténez,Magdalena,Magdalena,9908,11377,12785,6742,6043
Municipio/TIOC,Beni,Mamoré,Puerto Siles,Puerto Siles,1018,945,1091,599,492
Municipio/TIOC,Beni,Mamoré,San Joaquín,San Joaquín,5452,6917,6808,3668,3140
Municipio/TIOC,Beni,Mamoré,San Ramón,San Ramón,5927,4955,5489,2938,2551
Municipio/TIOC,Beni,Marbán,Loreto,Loreto,3859,3828,4269,2247,2022
Municipio/TIOC,Beni,Marbán,San Andrés,San Andrés,10595,12503,15570,8769,6801
Municipio/TIOC,Beni,Moxos,San Ignacio,San Ignacio,19250,19252,21584,11305,10279
Municipio/TIOC,Beni,Territorio Indígena Multiétnico,TIOC-Territorio Indígena Multiétnico,TIOC-Territorio Indígena Multiétnico,2013,3232,3973,2138,1835
Municipio/TIOC,Beni,Vaca Diez,Guayaramerín,Guayaramerín,40444,41814,42031,21563,20468
Municipio/TIOC,Beni,Vaca Diez,Riberalta,Riberalta,75977,89022,110302,55544,54758
Municipio/TIOC,Beni,Yacuma,Exaltación,Exaltación,6618,6362,8012,4413,3599
Municipio/TIOC,Beni,Yacuma,Santa Ana,Santa Ana,21663,17069,18088,9371,8717
Municipio/TIOC,Chuquisaca,Azurduy,Azurduy,Azurduy,11349,10652,7903,4004,3899
Municipio/TIOC,Chuquisaca,Azurduy,Tarvita,Tarvita,16230,14261,16812,8268,8544
Municipio/TIOC,Chuquisaca,Belisario Boeto,Villa Serrano,Villa Serrano,12386,11161,9107,4693,4414
Municipio/TIOC,Chuquisaca,Hernando Siles,Huacareta,Huacareta,10007,8349,7200,3732,3468
Municipio/TIOC,Chuquisaca,Hernando Siles,Monteagudo,Monteagudo,26504,24303,24546,12649,11897
Municipio/TIOC,Chuquisaca,Luis Calvo,Huacaya (Autonomía Guaraní Chaqueño de Huacaya),Huacaya (Autonomía Guaraní Chaqueño de Huacaya),2345,2541,2547,1346,1201
Municipio/TIOC,Chuquisaca,Luis Calvo,Macharetí,Macharetí,7386,7418,7235,3895,3340
Municipio/TIOC,Chuquisaca,Luis Calvo,Villa Vaca Guzmán,Villa Vaca Guzmán,10748,9720,13282,7279,6003
Municipio/TIOC,Chuquisaca,Nor Cinti,Camargo,Camargo,14392,15644,14713,7269,7444
Municipio/TIOC,Chuquisaca,Nor Cinti,Incahuasi,Incahuasi,10709,13056,16484,8474,8010
Municipio/TIOC,Chuquisaca,Nor Cinti,San Lucas,San Lucas,32109,32520,26715,13158,13557
Municipio/TIOC,Chuquisaca,Nor Cinti,Villa Charcas,Villa Charcas,12302,16150,14282,7070,7212
Municipio/TIOC,Chuquisaca,Oropeza,Poroma,Poroma,16966,16532,13649,6982,6667
Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Sucre,214913,261622,296746,142122,154624
Municipio/TIOC,Chuquisaca,Oropeza,Yotala,Yotala,9497,9461,9256,4654,4602
Municipio/TIOC,Chuquisaca,Sud Cinti,Culpina,Culpina,17570,17731,14848,7302,7546
Municipio/TIOC,Chuquisaca,Sud Cinti,Las Carreras,Las Carreras,3556,4088,5016,2576,2440
Municipio/TIOC,Chuquisaca,Sud Cinti,Villa Abecia,Villa Abecia,3195,3514,5375,2717,2658
Municipio/TIOC,Chuquisaca,Tomina,Alcalá,Alcalá,4034,4902,3768,1917,1851
Municipio/TIOC,Chuquisaca,Tomina,El Villar,El Villar,4585,4465,5654,2862,2792
Municipio/TIOC,Chuquisaca,Tomina,Padilla,Padilla,12453,10383,9192,4628,4564
Municipio/TIOC,Chuquisaca,Tomina,Sopachuy,Sopachuy,7241,7312,6942,3507,3435
Municipio/TIOC,Chuquisaca,Tomina,Tomina,Tomina,9060,8494,8509,4310,4199
Municipio/TIOC,Chuquisaca,Yamparáez,Tarabuco,Tarabuco,19554,16944,13323,6592,6731
Municipio/TIOC,Chuquisaca,Yamparáez,Yamparáez,Yamparáez,10013,10111,8480,4266,4214
Municipio/TIOC,Chuquisaca,Zudáñez,Icla,Icla,8177,7774,9155,4681,4474
Municipio/TIOC,Chuquisaca,Zudáñez,Mojocoya,Mojocoya,7926,8068,9055,4515,4540
Municipio/TIOC,Chuquisaca,Zudáñez,Presto,Presto,8892,12385,12539,6550,5989
Municipio/TIOC,Chuquisaca,Zudáñez,Zudáñez,Zudáñez,7423,11362,13694,7143,6551
Municipio/TIOC,Cochabamba,Arani,Arani,Arani,11542,9504,11183,5392,5791
Municipio/TIOC,Cochabamba,Arani,Vacas,Vacas,12511,8940,8409,4114,4295
Municipio/TIOC,Cochabamba,Arque,Arque,Arque,11806,10597,10632,5559,5073
Municipio/TIOC,Cochabamba,Arque,Tacopaya,Tacopaya,11658,10253,10750,5726,5024
Municipio/TIOC,Cochabamba,Ayopaya,Ayopaya,Ayopaya,26825,23658,21815,11551,10264
Municipio/TIOC,Cochabamba,Ayopaya,Cocapata,Cocapata,17061,18076,19608,10671,8937
Municipio/TIOC,Cochabamba,Ayopaya,Morochata,Morochata,17073,12797,14720,7552,7168
Municipio/TIOC,Cochabamba,Bolívar,Bolívar,Bolívar,8635,7279,8282,4585,3697
Municipio/TIOC,Cochabamba,Campero,Aiquile,Aiquile,26281,23267,23123,11513,11610
Municipio/TIOC,Cochabamba,Campero,Omereque,Omereque,6071,5643,6700,3422,3278
Municipio/TIOC,Cochabamba,Campero,Pasorapa,Pasorapa,4659,6853,6475,3504,2971
Municipio/TIOC,Cochabamba,Capinota,Capinota,Capinota,16945,19477,19427,9365,10062
Municipio/TIOC,Cochabamba,Capinota,Santiváñez,Santiváñez,6402,6527,7940,3966,3974
Municipio/TIOC,Cochabamba,Capinota,Sicaya,Sicaya,2235,3740,3980,2071,1909
Municipio/TIOC,Cochabamba,Carrasco,Chimoré,Chimoré,14834,21736,27521,14637,12884
Municipio/TIOC,Cochabamba,Carrasco,Entre Ríos,Entre Ríos,22187,31550,45780,23681,22099
Municipio/TIOC,Cochabamba,Carrasco,Pocona,Pocona,13488,10750,12258,6199,6059
Municipio/TIOC,Cochabamba,Carrasco,Pojo,Pojo,11515,10156,11865,6159,5706
Municipio/TIOC,Cochabamba,Carrasco,Puerto Villarroel,Puerto Villarroel,40790,46627,64595,33538,31057
Municipio/TIOC,Cochabamba,Carrasco,Totora,Totora,12927,14665,14821,7823,6998
Municipio/TIOC,Cochabamba,Cercado,Cochabamba,Cochabamba,517024,632013,665505,319373,346132
Municipio/TIOC,Cochabamba,Chapare,Colomi,Colomi,17372,19285,21846,11140,10706
Municipio/TIOC,Cochabamba,Chapare,Sacaba,Sacaba,117100,172466,219092,106199,112893
Municipio/TIOC,Cochabamba,Chapare,Villa Tunari,Villa Tunari,52886,71386,93747,50362,43385
Municipio/TIOC,Cochabamba,Esteban Arze,Anzaldo,Anzaldo,9126,7192,7335,3603,3732
Municipio/TIOC,Cochabamba,Esteban Arze,Arbieto,Arbieto,9438,17445,29375,14187,15188
Municipio/TIOC,Cochabamba,Esteban Arze,Sacabamba,Sacabamba,4718,4366,4987,2516,2471
Municipio/TIOC,Cochabamba,Esteban Arze,Tarata,Tarata,8715,8242,11273,5617,5656
Municipio/TIOC,Cochabamba,Germán Jordán,Cliza,Cliza,19747,21899,21155,10373,10782
Municipio/TIOC,Cochabamba,Germán Jordán,Toco,Toco,6705,7057,7382,3740,3642
Municipio/TIOC,Cochabamba,Germán Jordán,Tolata,Tolata,5316,5542,8687,4598,4089
Municipio/TIOC,Cochabamba,Mizque,Alalay,Alalay,4931,3447,3512,1860,1652
Municipio/TIOC,Cochabamba,Mizque,Mizque,Mizque,21372,19864,19896,9952,9944
Municipio/TIOC,Cochabamba,Mizque,TIOC-Raqaypampa,TIOC-Raqaypampa,5287,7036,8056,4128,3928
Municipio/TIOC,Cochabamba,Mizque,Vila Vila,Vila Vila,4591,5459,5244,2643,2601
Municipio/TIOC,Cochabamba,Punata,Punata,Punata,26140,28887,35248,16528,18720
Municipio/TIOC,Cochabamba,Punata,San Benito,San Benito,12720,13562,13054,6370,6684
Municipio/TIOC,Cochabamba,Punata,Tacachi,Tacachi,1076,1303,1287,645,642
Municipio/TIOC,Cochabamba,Punata,Villa Gualberto Villarroel,Villa Gualberto Villarroel,1942,2768,3822,1901,1921
Municipio/TIOC,Cochabamba,Punata,Villa Rivero,Villa Rivero,5857,8135,8599,4197,4402
Municipio/TIOC,Cochabamba,Quillacollo,Colcapirhua,Colcapirhua,41980,51990,66505,32204,34301
Municipio/TIOC,Cochabamba,Quillacollo,Quillacollo,Quillacollo,104206,137182,166741,80383,86358
Municipio/TIOC,Cochabamba,Quillacollo,Sipesipe,Sipesipe,31337,41571,55908,26687,29221
Municipio/TIOC,Cochabamba,Quillacollo,Tiquipaya,Tiquipaya,37791,53904,61840,29805,32035
Municipio/TIOC,Cochabamba,Quillacollo,Vinto,Vinto,31489,51968,56064,26947,29117
Municipio/TIOC,Cochabamba,Tapacarí,Tapacarí,Tapacarí,25919,24625,24666,12900,11766
Municipio/TIOC,Cochabamba,Tiraque,Shinahota,Shinahota,14709,20841,27172,14200,12972
Municipio/TIOC,Cochabamba,Tiraque,Tiraque,Tiraque,20772,21231,18475,9200,9275
Municipio/TIOC,La Paz,Abel Iturralde,Ixiamas,Ixiamas,5625,9362,12595,7090,5505
Municipio/TIOC,La Paz,Abel Iturralde,San Buenaventura,San Buenaventura,6203,8711,10105,5235,4870
Municipio/TIOC,La Paz,Aroma,Ayo Ayo,Ayo Ayo,6981,7798,11258,5778,5480
Municipio/TIOC,La Paz,Aroma,Calamarca,Calamarca,12112,12413,15327,7744,7583
Municipio/TIOC,La Paz,Aroma,Collana,Collana,2927,5042,5526,2729,2797
Municipio/TIOC,La Paz,Aroma,Colquencha,Colquencha,8020,9879,12490,6312,6178
Municipio/TIOC,La Paz,Aroma,Patacamaya,Patacamaya,20039,22858,25148,12564,12584
Municipio/TIOC,La Paz,Aroma,Sicasica,Sicasica,26818,31312,33885,17417,16468
Municipio/TIOC,La Paz,Aroma,Umala,Umala,9583,8903,9102,4634,4468
Municipio/TIOC,La Paz,Bautista Saavedra,Charazani,Charazani,9161,13023,15763,8338,7425
Municipio/TIOC,La Paz,Bautista Saavedra,Curva,Curva,2213,3285,6611,3553,3058
Municipio/TIOC,La Paz,Camacho,Escoma,Escoma,7241,7186,8837,4461,4376
Municipio/TIOC,La Paz,Camacho,Humanata,Humanata,5599,5342,5658,2925,2733
Municipio/TIOC,La Paz,Camacho,Mocomoco,Mocomoco,17233,15665,17811,9298,8513
Municipio/TIOC,La Paz,Camacho,Puerto Acosta,Puerto Acosta,13083,11290,14012,7156,6856
Municipio/TIOC,La Paz,Camacho,Puerto Mayor de Carabuco,Puerto Mayor de Carabuco,14721,14589,17336,9000,8336
Municipio/TIOC,La Paz,Caranavi,Alto Beni,Alto Beni,8093,11194,10585,5749,4836
