gestion,codigo_entidad,nombre_entidad,prg,proyecto,actividad,nivel,es_resumen_programa,es_fila_residual,descripcion,grupo_1,grupo_2,grupo_3,grupo_4,grupo_5,grupo_6,grupo_7,grupo_8,grupo_9,total,total_calculado,total_diff,file
2026,1101,Gobierno Autónomo Municipal de Sucre,97,0,000,resumen_programa,True,False,PARTIDAS NO ASIGNABLES A PROGRAMAS - ACTIVOS FINANCIEROS,0,0,0,0,0,0,0,0,443973701,443973701,443973701,0,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_categoria_programatica_grupo_gasto_total_gastos.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,97,0,018,detalle,False,False,PROVISION DE GASTO SMIP,0,0,0,0,0,0,0,0,443973701,443973701,443973701,0,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_categoria_programatica_grupo_gasto_total_gastos.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,200,0,000,resumen_programa,True,False,GESTIÓN DE SALUD,93691,38159798,0,0,0,0,0,0,0,38253489,38253489,0,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_categoria_programatica_grupo_gasto_total_gastos.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,200,0,051,detalle,False,False,DIRECCION MUNICIPAL DE SALUD DIMUSA,93691,0,0,0,0,0,0,0,0,93691,93691,0,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_categoria_programatica_grupo_gasto_total_gastos.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,200,0,099,detalle,False,False,SERVICIOS DE SALUD UNIVERSAL Y GRATUITA - SUS,0,38159798,0,0,0,0,0,0,0,38159798,38159798,0,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_categoria_programatica_grupo_gasto_total_gastos.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,201,0,000,resumen_programa,True,False,GESTIÓN DE SALUD - PRIMER NIVEL,3919874,0,0,0,0,0,0,0,0,3919874,3919874,0,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_categoria_programatica_grupo_gasto_total_gastos.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,201,0,058,detalle,False,False,SERVICIOS DE SALUD A LA RED MUNICIPAL DE ESTABLECIMIENTOS DE PRIMER NIVEL,837159,0,0,0,0,0,0,0,0,837159,837159,0,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_categoria_programatica_grupo_gasto_total_gastos.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,201,0,060,detalle,False,False,SERVICIOS DE SALUD CENTRO INTEGRAL BELEN,656180,0,0,0,0,0,0,0,0,656180,656180,0,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_categoria_programatica_grupo_gasto_total_gastos.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,201,0,061,detalle,False,False,SERVICIOS DE SALUD CENTRO INTEGRAL AZARI,588687,0,0,0,0,0,0,0,0,588687,588687,0,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_categoria_programatica_grupo_gasto_total_gastos.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,201,0,062,detalle,False,False,SERVICIOS DE SALUD CENTRO INTEGRAL LUIS ESPINAL,462366,0,0,0,0,0,0,0,0,462366,462366,0,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_categoria_programatica_grupo_gasto_total_gastos.pdf
