file,filename,codigo_entidad,nombre_entidad,filas,tiene_total_general,status,error
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_categoria_programatica_grupo_gasto_total_gastos.pdf,1101,Gobierno Autónomo Municipal de Sucre,39,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_categoria_programatica_grupo_gasto_total_gastos.pdf,1102,Gobierno Autónomo Municipal de Yotala,109,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_categoria_programatica_grupo_gasto_total_gastos.pdf,1103,Gobierno Autónomo Municipal de Poroma,114,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1104_Gobierno_Autónomo_Municipal_de_Villa_Azurduy_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1104_Gobierno_Autónomo_Municipal_de_Villa_Azurduy_categoria_programatica_grupo_gasto_total_gastos.pdf,1104,Gobierno Autónomo Municipal de Villa Azurduy,97,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1105_Gobierno_Autónomo_Municipal_de_Tarvita_Villa_Orías_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1105_Gobierno_Autónomo_Municipal_de_Tarvita_Villa_Orías_categoria_programatica_grupo_gasto_total_gastos.pdf,1105,Gobierno Autónomo Municipal de Tarvita (Villa Orías),90,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1106_Gobierno_Autónomo_Municipal_de_Villa_Zudañez_Tacopaya_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1106_Gobierno_Autónomo_Municipal_de_Villa_Zudañez_Tacopaya_categoria_programatica_grupo_gasto_total_gastos.pdf,1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),121,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1107_Gobierno_Autónomo_Municipal_de_Presto_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1107_Gobierno_Autónomo_Municipal_de_Presto_categoria_programatica_grupo_gasto_total_gastos.pdf,1107,Gobierno Autónomo Municipal de Presto,91,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1108_Gobierno_Autónomo_Municipal_de_Villa_Mojocoya_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1108_Gobierno_Autónomo_Municipal_de_Villa_Mojocoya_categoria_programatica_grupo_gasto_total_gastos.pdf,1108,Gobierno Autónomo Municipal de Villa Mojocoya,116,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1109_Gobierno_Autónomo_Municipal_de_Icla_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1109_Gobierno_Autónomo_Municipal_de_Icla_categoria_programatica_grupo_gasto_total_gastos.pdf,1109,Gobierno Autónomo Municipal de Icla,88,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1110_Gobierno_Autónomo_Municipal_de_Padilla_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1110_Gobierno_Autónomo_Municipal_de_Padilla_categoria_programatica_grupo_gasto_total_gastos.pdf,1110,Gobierno Autónomo Municipal de Padilla,123,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1111_Gobierno_Autónomo_Municipal_de_Tomina_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1111_Gobierno_Autónomo_Municipal_de_Tomina_categoria_programatica_grupo_gasto_total_gastos.pdf,1111,Gobierno Autónomo Municipal de Tomina,104,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1112_Gobierno_Autónomo_Municipal_de_Sopachuy_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1112_Gobierno_Autónomo_Municipal_de_Sopachuy_categoria_programatica_grupo_gasto_total_gastos.pdf,1112,Gobierno Autónomo Municipal de Sopachuy,108,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1113_Gobierno_Autónomo_Municipal_de_Villa_Alcalá_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1113_Gobierno_Autónomo_Municipal_de_Villa_Alcalá_categoria_programatica_grupo_gasto_total_gastos.pdf,1113,Gobierno Autónomo Municipal de Villa Alcalá,88,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1114_Gobierno_Autónomo_Municipal_de_El_Villar_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1114_Gobierno_Autónomo_Municipal_de_El_Villar_categoria_programatica_grupo_gasto_total_gastos.pdf,1114,Gobierno Autónomo Municipal de El Villar,95,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1115_Gobierno_Autónomo_Municipal_de_Monteagudo_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1115_Gobierno_Autónomo_Municipal_de_Monteagudo_categoria_programatica_grupo_gasto_total_gastos.pdf,1115,Gobierno Autónomo Municipal de Monteagudo,117,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1116_Gobierno_Autónomo_Municipal_de_San_Pablo_de_Huacareta_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1116_Gobierno_Autónomo_Municipal_de_San_Pablo_de_Huacareta_categoria_programatica_grupo_gasto_total_gastos.pdf,1116,Gobierno Autónomo Municipal de San Pablo de Huacareta,105,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1117_Gobierno_Autónomo_Municipal_de_Tarabuco_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1117_Gobierno_Autónomo_Municipal_de_Tarabuco_categoria_programatica_grupo_gasto_total_gastos.pdf,1117,Gobierno Autónomo Municipal de Tarabuco,96,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1118_Gobierno_Autónomo_Municipal_de_Yamparáez_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1118_Gobierno_Autónomo_Municipal_de_Yamparáez_categoria_programatica_grupo_gasto_total_gastos.pdf,1118,Gobierno Autónomo Municipal de Yamparáez,99,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1119_Gobierno_Autónomo_Municipal_de_Camargo_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1119_Gobierno_Autónomo_Municipal_de_Camargo_categoria_programatica_grupo_gasto_total_gastos.pdf,1119,Gobierno Autónomo Municipal de Camargo,128,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1120_Gobierno_Autónomo_Municipal_de_San_Lucas_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1120_Gobierno_Autónomo_Municipal_de_San_Lucas_categoria_programatica_grupo_gasto_total_gastos.pdf,1120,Gobierno Autónomo Municipal de San Lucas,140,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1121_Gobierno_Autónomo_Municipal_de_Incahuasi_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1121_Gobierno_Autónomo_Municipal_de_Incahuasi_categoria_programatica_grupo_gasto_total_gastos.pdf,1121,Gobierno Autónomo Municipal de Incahuasi,115,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1122_Gobierno_Autónomo_Municipal_de_Villa_Serrano_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1122_Gobierno_Autónomo_Municipal_de_Villa_Serrano_categoria_programatica_grupo_gasto_total_gastos.pdf,1122,Gobierno Autónomo Municipal de Villa Serrano,113,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1123_Gobierno_Autónomo_Municipal_de_Camataqui_Villa_Abecia_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1123_Gobierno_Autónomo_Municipal_de_Camataqui_Villa_Abecia_categoria_programatica_grupo_gasto_total_gastos.pdf,1123,Gobierno Autónomo Municipal de Camataqui (Villa Abecia),83,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1124_Gobierno_Autónomo_Municipal_de_Culpina_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1124_Gobierno_Autónomo_Municipal_de_Culpina_categoria_programatica_grupo_gasto_total_gastos.pdf,1124,Gobierno Autónomo Municipal de Culpina,25,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1125_Gobierno_Autónomo_Municipal_de_Las_Carreras_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1125_Gobierno_Autónomo_Municipal_de_Las_Carreras_categoria_programatica_grupo_gasto_total_gastos.pdf,1125,Gobierno Autónomo Municipal de Las Carreras,107,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1126_Gobierno_Autónomo_Municipal_de_Villa_Vaca_Guzmán_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1126_Gobierno_Autónomo_Municipal_de_Villa_Vaca_Guzmán_categoria_programatica_grupo_gasto_total_gastos.pdf,1126,Gobierno Autónomo Municipal de Villa Vaca Guzmán,20,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1128_Gobierno_Autónomo_Municipal_de_Machareti_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1128_Gobierno_Autónomo_Municipal_de_Machareti_categoria_programatica_grupo_gasto_total_gastos.pdf,1128,Gobierno Autónomo Municipal de Machareti,124,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1129_Gobierno_Autónomo_Municipal_de_Villa_Charcas_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1129_Gobierno_Autónomo_Municipal_de_Villa_Charcas_categoria_programatica_grupo_gasto_total_gastos.pdf,1129,Gobierno Autónomo Municipal de Villa Charcas,105,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1201_Gobierno_Autónomo_Municipal_de_La_Paz_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1201_Gobierno_Autónomo_Municipal_de_La_Paz_categoria_programatica_grupo_gasto_total_gastos.pdf,1201,Gobierno Autónomo Municipal de La Paz,1182,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1202_Gobierno_Autónomo_Municipal_de_Palca_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1202_Gobierno_Autónomo_Municipal_de_Palca_categoria_programatica_grupo_gasto_total_gastos.pdf,1202,Gobierno Autónomo Municipal de Palca,126,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1203_Gobierno_Autónomo_Municipal_de_Mecapaca_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1203_Gobierno_Autónomo_Municipal_de_Mecapaca_categoria_programatica_grupo_gasto_total_gastos.pdf,1203,Gobierno Autónomo Municipal de Mecapaca,19,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1204_Gobierno_Autónomo_Municipal_Ecológico_Productivo_de_Achocalla_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1204_Gobierno_Autónomo_Municipal_Ecológico_Productivo_de_Achocalla_categoria_programatica_grupo_gasto_total_gastos.pdf,1204,Gobierno Autónomo Municipal Ecológico Productivo de Achocalla,28,True,ok,
