codigo_entidad,nombre_entidad,grupo_1_detalle,grupo_2_detalle,grupo_3_detalle,grupo_4_detalle,grupo_5_detalle,grupo_6_detalle,grupo_7_detalle,grupo_8_detalle,grupo_9_detalle,total_detalle,grupo_1_pdf,grupo_2_pdf,grupo_3_pdf,grupo_4_pdf,grupo_5_pdf,grupo_6_pdf,grupo_7_pdf,grupo_8_pdf,grupo_9_pdf,total_pdf,grupo_1_diff,grupo_2_diff,grupo_3_diff,grupo_4_diff,grupo_5_diff,grupo_6_diff,grupo_7_diff,grupo_8_diff,grupo_9_diff,total_diff
1101,Gobierno Autónomo Municipal de Sucre,6294783,43080026,0,14189438,0,0,29249292,0,443973701,536787240,6294783,43080026,0,14189438,0,0,29249292,0,443973701,536787240,0,0,0,0,0,0,0,0,0,0
1102,Gobierno Autónomo Municipal de Yotala,2038425,2838750,4001597,253762,0,268338,1031310,13000,1699434,12144616,2038425,2838750,4001597,253762,0,268338,1031310,13000,1699434,12144616,0,0,0,0,0,0,0,0,0,0
1103,Gobierno Autónomo Municipal de Poroma,2937554,3396353,4798478,471886,0,771029,1720942,9750,1187427,15293419,2937554,3396353,4798478,471886,0,771029,1720942,9750,1187427,15293419,0,0,0,0,0,0,0,0,0,0
1104,Gobierno Autónomo Municipal de Villa Azurduy,2130320,1998113,2400994,7199287,493932,955000,1007146,0,0,16184792,2130320,1998113,2400994,7199287,493932,955000,1007146,0,0,16184792,0,0,0,0,0,0,0,0,0,0
1105,Gobierno Autónomo Municipal de Tarvita (Villa Orías),3173213,3680973,5058492,3119608,0,1418095,1763691,0,1151302,19365374,3173213,3680973,5058492,3119608,0,1418095,1763691,0,1151302,19365374,0,0,0,0,0,0,0,0,0,0
1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),2315741,3791344,4686555,354650,495751,838937,1315890,8500,2087112,15894480,2315741,3791344,4686555,354650,495751,838937,1315890,8500,2087112,15894480,0,0,0,0,0,0,0,0,0,0
1107,Gobierno Autónomo Municipal de Presto,2148303,3300693,4800335,1556715,1000,218643,1206737,4800,1144137,14381363,2148303,3300693,4800335,1556715,1000,218643,1206737,4800,1144137,14381363,0,0,0,0,0,0,0,0,0,0
1108,Gobierno Autónomo Municipal de Villa Mojocoya,1870420,2487234,3252191,974389,0,740225,961364,0,229801,10515624,1870420,2487234,3252191,974389,0,740225,961364,0,229801,10515624,0,0,0,0,0,0,0,0,0,0
1109,Gobierno Autónomo Municipal de Icla,1711923,2492270,3303372,220658,434886,851994,927420,4500,0,9947023,1711923,2492270,3303372,220658,434886,851994,927420,4500,0,9947023,0,0,0,0,0,0,0,0,0,0
1110,Gobierno Autónomo Municipal de Padilla,1533080,3751438,3157930,3906413,0,615782,1051690,3225,181010,14200568,1533080,3751438,3157930,3906413,0,615782,1051690,3225,181010,14200568,0,0,0,0,0,0,0,0,0,0
1111,Gobierno Autónomo Municipal de Tomina,1463236,2835004,2998762,267793,0,808512,863400,0,524015,9760722,1463236,2835004,2998762,267793,0,808512,863400,0,524015,9760722,0,0,0,0,0,0,0,0,0,0
1112,Gobierno Autónomo Municipal de Sopachuy,1451955,2931143,2713197,1235314,0,288926,804562,0,139276,9564373,1451955,2931143,2713197,1235314,0,288926,804562,0,139276,9564373,0,0,0,0,0,0,0,0,0,0
1113,Gobierno Autónomo Municipal de Villa Alcalá,825140,1930446,1128451,2829237,700000,133650,554783,0,0,8101707,825140,1930446,1128451,2829237,700000,133650,554783,0,0,8101707,0,0,0,0,0,0,0,0,0,0
1114,Gobierno Autónomo Municipal de El Villar,2138241,1735329,1729139,1386788,0,297483,634237,0,135067,8056284,2138241,1735329,1729139,1386788,0,297483,634237,0,135067,8056284,0,0,0,0,0,0,0,0,0,0
1115,Gobierno Autónomo Municipal de Monteagudo,10583914,7635314,9057157,2966746,0,2484992,2973680,8500,1264526,36974829,10583914,7635314,9057157,2966746,0,2484992,2973680,8500,1264526,36974829,0,0,0,0,0,0,0,0,0,0
1116,Gobierno Autónomo Municipal de San Pablo de Huacareta,2643335,2407320,1956981,3581691,0,144730,854040,0,113589,11701686,2643335,2407320,1956981,3581691,0,144730,854040,0,113589,11701686,0,0,0,0,0,0,0,0,0,0
1117,Gobierno Autónomo Municipal de Tarabuco,2531763,2413457,3713261,5070846,0,385673,1260694,4075,0,15379769,2531763,2413457,3713261,5070846,0,385673,1260694,4075,0,15379769,0,0,0,0,0,0,0,0,0,0
1118,Gobierno Autónomo Municipal de Yamparáez,2155036,2447929,2877402,2608084,0,995800,919501,4000,304258,12312010,2155036,2447929,2877402,2608084,0,995800,919501,4000,304258,12312010,0,0,0,0,0,0,0,0,0,0
1119,Gobierno Autónomo Municipal de Camargo,3692323,6515114,5699916,337200,0,36000,1571646,4800,268226,18125225,3692323,6515114,5699916,337200,0,36000,1571646,4800,268226,18125225,0,0,0,0,0,0,0,0,0,0
