gestion,codigo_entidad,nombre_entidad,objeto_gasto,objeto_padre,nivel_objeto,descripcion,entidad_transferencia,es_detalle,es_resumen,monto_01_tgn,monto_02_tgn_p,monto_03_tgn_ct,monto_04_recon,monto_05_tgn_fcom,monto_06_tgn_pg_n,monto_07_tgn_iehd,monto_08_tgn_idh,monto_09_tgn_ipj,monto_10_tgn_ppet,monto_11_ot_gob,monto_12_total_tgn,monto_13_otros_ingresos,monto_14_recursos_especificos,monto_15_donaciones_internas,monto_16_credito_externo,monto_17_donaciones_externas,total,file
2026,1101,Gobierno Autónomo Municipal de Sucre,1,,1,SERVICIOS PERSONALES,,False,True,0,0,2653884,0,0,0,0,0,0,0,2653884,0,3640899,0,0,0,0,6294783,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_objeto_gasto_fuente_total_gastos.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,1.1,1,2,Empleados Permanentes,,False,True,0,0,2290080,0,0,0,0,0,0,0,2290080,0,3141788,0,0,0,0,5431868,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_objeto_gasto_fuente_total_gastos.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,1.1.4,1.1,3,Aguinaldos,0000,True,False,0,0,176160,0,0,0,0,0,0,0,176160,0,241676,0,0,0,0,417836,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_objeto_gasto_fuente_total_gastos.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,1.1.7,1.1,3,Sueldos,0000,True,False,0,0,2113920,0,0,0,0,0,0,0,2113920,0,2900112,0,0,0,0,5014032,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_objeto_gasto_fuente_total_gastos.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,1.3,1,2,Previsión Social,,False,True,0,0,363804,0,0,0,0,0,0,0,363804,0,499111,0,0,0,0,862915,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_objeto_gasto_fuente_total_gastos.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,1.3.1,1.3,3,Aporte Patronal al Seguro Social,,False,True,0,0,321526,0,0,0,0,0,0,0,321526,0,441108,0,0,0,0,762634,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_objeto_gasto_fuente_total_gastos.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,1.3.1.10,1.3.1,4,Régimen de Corto Plazo (Salud),0417,True,False,0,0,211392,0,0,0,0,0,0,0,211392,0,290011,0,0,0,0,501403,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_objeto_gasto_fuente_total_gastos.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,1.3.1.20,1.3.1,4,PRIMA DE RIESGO PROFESIONAL RÉGIMEN DE LARGO PLAZO,0999,True,False,0,0,36147,0,0,0,0,0,0,0,36147,0,49593,0,0,0,0,85740,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_objeto_gasto_fuente_total_gastos.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,1.3.1.31,1.3.1,4,Aporte Patronal Solidario 3.5%,0999,True,False,0,0,73987,0,0,0,0,0,0,0,73987,0,101504,0,0,0,0,175491,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_objeto_gasto_fuente_total_gastos.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,1.3.2,1.3,3,Aporte Patronal para Vivienda,0342,True,False,0,0,42278,0,0,0,0,0,0,0,42278,0,58003,0,0,0,0,100281,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_objeto_gasto_fuente_total_gastos.pdf
