gestion,codigo_entidad,nombre_entidad,objeto_gasto,objeto_padre,nivel_objeto,descripcion,entidad_transferencia,file,fuente_columna,monto
2026,1101,Gobierno Autónomo Municipal de Sucre,4.2.2.30,4.2.2,4,O Pr t i r v a a s d C o onstrucciones y Mejoras de Bienes Públicos de Dominio,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,13619932
2026,1101,Gobierno Autónomo Municipal de Sucre,4.2.2.40,4.2.2,4,S D u o p m e in rv io is i ó P n ri v d a e d C o onstrucciones y Mejoras de Bienes Públicos de,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,569506
2026,1101,Gobierno Autónomo Municipal de Sucre,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,384039
2026,1102,Gobierno Autónomo Municipal de Yotala,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,32588
2026,1103,Gobierno Autónomo Municipal de Poroma,2.5.2.30,2.5.2,4,AUDITORÍAS EXTERNAS,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,66454
2026,1103,Gobierno Autónomo Municipal de Poroma,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,79313
2026,1104,Gobierno Autónomo Municipal de Villa Azurduy,4.2.2.30,4.2.2,4,O Pr t i r v a a s d C o onstrucciones y Mejoras de Bienes Públicos de Dominio,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1104_Gobierno_Autónomo_Municipal_de_Villa_Azurduy_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,4237097
2026,1104,Gobierno Autónomo Municipal de Villa Azurduy,4.3.2,4.3,3,Maquinaria y Equipo de Producción,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1104_Gobierno_Autónomo_Municipal_de_Villa_Azurduy_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,2737578
2026,1104,Gobierno Autónomo Municipal de Villa Azurduy,4.6.3.10,4.6.3,4,Consultoría por Producto,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1104_Gobierno_Autónomo_Municipal_de_Villa_Azurduy_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,150612
2026,1104,Gobierno Autónomo Municipal de Villa Azurduy,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1104_Gobierno_Autónomo_Municipal_de_Villa_Azurduy_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,58125
2026,1105,Gobierno Autónomo Municipal de Tarvita (Villa Orías),7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1105_Gobierno_Autónomo_Municipal_de_Tarvita_Villa_Orías_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,22696
2026,1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1106_Gobierno_Autónomo_Municipal_de_Villa_Zudañez_Tacopaya_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,38025
2026,1107,Gobierno Autónomo Municipal de Presto,4.2.2.30,4.2.2,4,O Pr t i r v a a s d C o onstrucciones y Mejoras de Bienes Públicos de Dominio,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1107_Gobierno_Autónomo_Municipal_de_Presto_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,791137
2026,1107,Gobierno Autónomo Municipal de Presto,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1107_Gobierno_Autónomo_Municipal_de_Presto_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,24713
2026,1108,Gobierno Autónomo Municipal de Villa Mojocoya,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1108_Gobierno_Autónomo_Municipal_de_Villa_Mojocoya_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,27938
2026,1109,Gobierno Autónomo Municipal de Icla,4.2.3.10,4.2.3,4,Construcciones y Mejoras de Bienes de Dominio Público,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1109_Gobierno_Autónomo_Municipal_de_Icla_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,145558
2026,1109,Gobierno Autónomo Municipal de Icla,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1109_Gobierno_Autónomo_Municipal_de_Icla_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,27900
2026,1110,Gobierno Autónomo Municipal de Padilla,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1110_Gobierno_Autónomo_Municipal_de_Padilla_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,52050
2026,1111,Gobierno Autónomo Municipal de Tomina,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1111_Gobierno_Autónomo_Municipal_de_Tomina_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,35663
2026,1112,Gobierno Autónomo Municipal de Sopachuy,4.2.2.30,4.2.2,4,O Pr t i r v a a s d C o onstrucciones y Mejoras de Bienes Públicos de Dominio,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1112_Gobierno_Autónomo_Municipal_de_Sopachuy_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,829150
2026,1112,Gobierno Autónomo Municipal de Sopachuy,4.2.2.40,4.2.2,4,S D u o p m e in rv io is i ó P n ri v d a e d C o onstrucciones y Mejoras de Bienes Públicos de,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1112_Gobierno_Autónomo_Municipal_de_Sopachuy_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,41457
2026,1112,Gobierno Autónomo Municipal de Sopachuy,4.3.2,4.3,3,Maquinaria y Equipo de Producción,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1112_Gobierno_Autónomo_Municipal_de_Sopachuy_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,277485
2026,1112,Gobierno Autónomo Municipal de Sopachuy,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1112_Gobierno_Autónomo_Municipal_de_Sopachuy_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,36338
2026,1113,Gobierno Autónomo Municipal de Villa Alcalá,4.2.2.30,4.2.2,4,O Pr t i r v a a s d C o onstrucciones y Mejoras de Bienes Públicos de Dominio,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1113_Gobierno_Autónomo_Municipal_de_Villa_Alcalá_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,2752537
