file,filename,codigo_entidad,nombre_entidad,filas,tiene_total_general,status,error
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_objeto_gasto_fuente_total_gastos.pdf,2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_objeto_gasto_fuente_total_gastos.pdf,1101,Gobierno Autónomo Municipal de Sucre,32,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_objeto_gasto_fuente_total_gastos.pdf,2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_objeto_gasto_fuente_total_gastos.pdf,1102,Gobierno Autónomo Municipal de Yotala,116,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_objeto_gasto_fuente_total_gastos.pdf,2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_objeto_gasto_fuente_total_gastos.pdf,1103,Gobierno Autónomo Municipal de Poroma,113,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1104_Gobierno_Autónomo_Municipal_de_Villa_Azurduy_objeto_gasto_fuente_total_gastos.pdf,2026_1104_Gobierno_Autónomo_Municipal_de_Villa_Azurduy_objeto_gasto_fuente_total_gastos.pdf,1104,Gobierno Autónomo Municipal de Villa Azurduy,108,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1105_Gobierno_Autónomo_Municipal_de_Tarvita_Villa_Orías_objeto_gasto_fuente_total_gastos.pdf,2026_1105_Gobierno_Autónomo_Municipal_de_Tarvita_Villa_Orías_objeto_gasto_fuente_total_gastos.pdf,1105,Gobierno Autónomo Municipal de Tarvita (Villa Orías),107,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1106_Gobierno_Autónomo_Municipal_de_Villa_Zudañez_Tacopaya_objeto_gasto_fuente_total_gastos.pdf,2026_1106_Gobierno_Autónomo_Municipal_de_Villa_Zudañez_Tacopaya_objeto_gasto_fuente_total_gastos.pdf,1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),122,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1107_Gobierno_Autónomo_Municipal_de_Presto_objeto_gasto_fuente_total_gastos.pdf,2026_1107_Gobierno_Autónomo_Municipal_de_Presto_objeto_gasto_fuente_total_gastos.pdf,1107,Gobierno Autónomo Municipal de Presto,125,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1108_Gobierno_Autónomo_Municipal_de_Villa_Mojocoya_objeto_gasto_fuente_total_gastos.pdf,2026_1108_Gobierno_Autónomo_Municipal_de_Villa_Mojocoya_objeto_gasto_fuente_total_gastos.pdf,1108,Gobierno Autónomo Municipal de Villa Mojocoya,111,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1109_Gobierno_Autónomo_Municipal_de_Icla_objeto_gasto_fuente_total_gastos.pdf,2026_1109_Gobierno_Autónomo_Municipal_de_Icla_objeto_gasto_fuente_total_gastos.pdf,1109,Gobierno Autónomo Municipal de Icla,107,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1110_Gobierno_Autónomo_Municipal_de_Padilla_objeto_gasto_fuente_total_gastos.pdf,2026_1110_Gobierno_Autónomo_Municipal_de_Padilla_objeto_gasto_fuente_total_gastos.pdf,1110,Gobierno Autónomo Municipal de Padilla,106,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1111_Gobierno_Autónomo_Municipal_de_Tomina_objeto_gasto_fuente_total_gastos.pdf,2026_1111_Gobierno_Autónomo_Municipal_de_Tomina_objeto_gasto_fuente_total_gastos.pdf,1111,Gobierno Autónomo Municipal de Tomina,101,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1112_Gobierno_Autónomo_Municipal_de_Sopachuy_objeto_gasto_fuente_total_gastos.pdf,2026_1112_Gobierno_Autónomo_Municipal_de_Sopachuy_objeto_gasto_fuente_total_gastos.pdf,1112,Gobierno Autónomo Municipal de Sopachuy,111,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1113_Gobierno_Autónomo_Municipal_de_Villa_Alcalá_objeto_gasto_fuente_total_gastos.pdf,2026_1113_Gobierno_Autónomo_Municipal_de_Villa_Alcalá_objeto_gasto_fuente_total_gastos.pdf,1113,Gobierno Autónomo Municipal de Villa Alcalá,107,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1114_Gobierno_Autónomo_Municipal_de_El_Villar_objeto_gasto_fuente_total_gastos.pdf,2026_1114_Gobierno_Autónomo_Municipal_de_El_Villar_objeto_gasto_fuente_total_gastos.pdf,1114,Gobierno Autónomo Municipal de El Villar,97,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1115_Gobierno_Autónomo_Municipal_de_Monteagudo_objeto_gasto_fuente_total_gastos.pdf,2026_1115_Gobierno_Autónomo_Municipal_de_Monteagudo_objeto_gasto_fuente_total_gastos.pdf,1115,Gobierno Autónomo Municipal de Monteagudo,124,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1116_Gobierno_Autónomo_Municipal_de_San_Pablo_de_Huacareta_objeto_gasto_fuente_total_gastos.pdf,2026_1116_Gobierno_Autónomo_Municipal_de_San_Pablo_de_Huacareta_objeto_gasto_fuente_total_gastos.pdf,1116,Gobierno Autónomo Municipal de San Pablo de Huacareta,95,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1117_Gobierno_Autónomo_Municipal_de_Tarabuco_objeto_gasto_fuente_total_gastos.pdf,2026_1117_Gobierno_Autónomo_Municipal_de_Tarabuco_objeto_gasto_fuente_total_gastos.pdf,1117,Gobierno Autónomo Municipal de Tarabuco,94,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1118_Gobierno_Autónomo_Municipal_de_Yamparáez_objeto_gasto_fuente_total_gastos.pdf,2026_1118_Gobierno_Autónomo_Municipal_de_Yamparáez_objeto_gasto_fuente_total_gastos.pdf,1118,Gobierno Autónomo Municipal de Yamparáez,98,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1119_Gobierno_Autónomo_Municipal_de_Camargo_objeto_gasto_fuente_total_gastos.pdf,2026_1119_Gobierno_Autónomo_Municipal_de_Camargo_objeto_gasto_fuente_total_gastos.pdf,1119,Gobierno Autónomo Municipal de Camargo,127,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1120_Gobierno_Autónomo_Municipal_de_San_Lucas_objeto_gasto_fuente_total_gastos.pdf,2026_1120_Gobierno_Autónomo_Municipal_de_San_Lucas_objeto_gasto_fuente_total_gastos.pdf,1120,Gobierno Autónomo Municipal de San Lucas,120,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1121_Gobierno_Autónomo_Municipal_de_Incahuasi_objeto_gasto_fuente_total_gastos.pdf,2026_1121_Gobierno_Autónomo_Municipal_de_Incahuasi_objeto_gasto_fuente_total_gastos.pdf,1121,Gobierno Autónomo Municipal de Incahuasi,123,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1122_Gobierno_Autónomo_Municipal_de_Villa_Serrano_objeto_gasto_fuente_total_gastos.pdf,2026_1122_Gobierno_Autónomo_Municipal_de_Villa_Serrano_objeto_gasto_fuente_total_gastos.pdf,1122,Gobierno Autónomo Municipal de Villa Serrano,116,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1123_Gobierno_Autónomo_Municipal_de_Camataqui_Villa_Abecia_objeto_gasto_fuente_total_gastos.pdf,2026_1123_Gobierno_Autónomo_Municipal_de_Camataqui_Villa_Abecia_objeto_gasto_fuente_total_gastos.pdf,1123,Gobierno Autónomo Municipal de Camataqui (Villa Abecia),109,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1124_Gobierno_Autónomo_Municipal_de_Culpina_objeto_gasto_fuente_total_gastos.pdf,2026_1124_Gobierno_Autónomo_Municipal_de_Culpina_objeto_gasto_fuente_total_gastos.pdf,1124,Gobierno Autónomo Municipal de Culpina,62,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1125_Gobierno_Autónomo_Municipal_de_Las_Carreras_objeto_gasto_fuente_total_gastos.pdf,2026_1125_Gobierno_Autónomo_Municipal_de_Las_Carreras_objeto_gasto_fuente_total_gastos.pdf,1125,Gobierno Autónomo Municipal de Las Carreras,110,True,ok,
