gestion,codigo_entidad,nombre_entidad,monto_01_tgn,monto_02_tgn_p,monto_03_tgn_ct,monto_04_recon,monto_05_tgn_fcom,monto_06_tgn_pg_n,monto_07_tgn_iehd,monto_08_tgn_idh,monto_09_tgn_ipj,monto_10_tgn_ppet,monto_11_ot_gob,monto_12_total_tgn,monto_13_otros_ingresos,monto_14_recursos_especificos,monto_15_donaciones_internas,monto_16_credito_externo,monto_17_donaciones_externas,total,file
2026,1101,Gobierno Autónomo Municipal de Sucre,14573477,0,246192248,0,0,0,70288976,0,0,0,331054701,0,205732539,0,0,0,0,536787240,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_objeto_gasto_fuente_total_gastos.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,32588,0,7760140,0,0,0,2193468,0,0,0,9986196,0,2105568,0,52852,0,0,12144616,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_objeto_gasto_fuente_total_gastos.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,145767,0,11340016,0,0,0,3237625,0,0,0,14723408,0,157125,0,412886,0,0,15293419,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_objeto_gasto_fuente_total_gastos.pdf
2026,1104,Gobierno Autónomo Municipal de Villa Azurduy,7183412,0,6535474,0,0,0,1865906,0,0,0,15584792,0,600000,0,0,0,0,16184792,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1104_Gobierno_Autónomo_Municipal_de_Villa_Azurduy_objeto_gasto_fuente_total_gastos.pdf
2026,1105,Gobierno Autónomo Municipal de Tarvita (Villa Orías),22696,0,13692820,0,0,0,3909361,0,0,0,17624877,0,1740497,0,0,0,0,19365374,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1105_Gobierno_Autónomo_Municipal_de_Tarvita_Villa_Orías_objeto_gasto_fuente_total_gastos.pdf
2026,1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),38025,0,11047712,0,0,0,3011418,0,0,0,14097155,0,1797325,0,0,0,0,15894480,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1106_Gobierno_Autónomo_Municipal_de_Villa_Zudañez_Tacopaya_objeto_gasto_fuente_total_gastos.pdf
2026,1107,Gobierno Autónomo Municipal de Presto,815850,0,9995676,0,0,0,2853809,0,0,0,13665335,0,239810,0,476218,0,0,14381363,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1107_Gobierno_Autónomo_Municipal_de_Presto_objeto_gasto_fuente_total_gastos.pdf
2026,1108,Gobierno Autónomo Municipal de Villa Mojocoya,27938,0,7458306,0,0,0,2129380,0,0,0,9615624,0,900000,0,0,0,0,10515624,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1108_Gobierno_Autónomo_Municipal_de_Villa_Mojocoya_objeto_gasto_fuente_total_gastos.pdf
2026,1109,Gobierno Autónomo Municipal de Icla,173458,0,7361034,0,0,0,2101607,0,0,0,9636099,0,310924,0,0,0,0,9947023,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1109_Gobierno_Autónomo_Municipal_de_Icla_objeto_gasto_fuente_total_gastos.pdf
2026,1110,Gobierno Autónomo Municipal de Padilla,52050,0,6270264,0,0,0,1790188,0,0,0,8112502,0,6088066,0,0,0,0,14200568,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1110_Gobierno_Autónomo_Municipal_de_Padilla_objeto_gasto_fuente_total_gastos.pdf
2026,1111,Gobierno Autónomo Municipal de Tomina,35663,0,6934536,0,0,0,1979840,0,0,0,8950039,0,618890,0,191793,0,0,9760722,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1111_Gobierno_Autónomo_Municipal_de_Tomina_objeto_gasto_fuente_total_gastos.pdf
2026,1112,Gobierno Autónomo Municipal de Sopachuy,1184430,0,6024879,0,0,0,1684478,0,0,0,8893787,0,670586,0,0,0,0,9564373,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1112_Gobierno_Autónomo_Municipal_de_Sopachuy_objeto_gasto_fuente_total_gastos.pdf
2026,1113,Gobierno Autónomo Municipal de Villa Alcalá,2871787,0,3119336,0,0,0,890584,0,0,0,6881707,0,1220000,0,0,0,0,8101707,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1113_Gobierno_Autónomo_Municipal_de_Villa_Alcalá_objeto_gasto_fuente_total_gastos.pdf
2026,1114,Gobierno Autónomo Municipal de El Villar,1477853,0,4685655,0,0,0,1337776,0,0,0,7501284,0,555000,0,0,0,0,8056284,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1114_Gobierno_Autónomo_Municipal_de_El_Villar_objeto_gasto_fuente_total_gastos.pdf
2026,1115,Gobierno Autónomo Municipal de Monteagudo,2655702,0,20915586,0,0,0,5812296,0,706930,0,30090514,0,6884315,0,0,0,0,36974829,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1115_Gobierno_Autónomo_Municipal_de_Monteagudo_objeto_gasto_fuente_total_gastos.pdf
2026,1116,Gobierno Autónomo Municipal de San Pablo de Huacareta,3546691,0,5986764,0,0,0,1709248,0,0,0,11242703,0,458983,0,0,0,0,11701686,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1116_Gobierno_Autónomo_Municipal_de_San_Pablo_de_Huacareta_objeto_gasto_fuente_total_gastos.pdf
