codigo_entidad,nombre_entidad,monto_01_tgn_detalle,monto_02_tgn_p_detalle,monto_03_tgn_ct_detalle,monto_04_recon_detalle,monto_05_tgn_fcom_detalle,monto_06_tgn_pg_n_detalle,monto_07_tgn_iehd_detalle,monto_08_tgn_idh_detalle,monto_09_tgn_ipj_detalle,monto_10_tgn_ppet_detalle,monto_11_ot_gob_detalle,monto_12_total_tgn_detalle,monto_13_otros_ingresos_detalle,monto_14_recursos_especificos_detalle,monto_15_donaciones_internas_detalle,monto_16_credito_externo_detalle,monto_17_donaciones_externas_detalle,total_detalle,monto_01_tgn_pdf,monto_02_tgn_p_pdf,monto_03_tgn_ct_pdf,monto_04_recon_pdf,monto_05_tgn_fcom_pdf,monto_06_tgn_pg_n_pdf,monto_07_tgn_iehd_pdf,monto_08_tgn_idh_pdf,monto_09_tgn_ipj_pdf,monto_10_tgn_ppet_pdf,monto_11_ot_gob_pdf,monto_12_total_tgn_pdf,monto_13_otros_ingresos_pdf,monto_14_recursos_especificos_pdf,monto_15_donaciones_internas_pdf,monto_16_credito_externo_pdf,monto_17_donaciones_externas_pdf,total_pdf,monto_01_tgn_diff,monto_02_tgn_p_diff,monto_03_tgn_ct_diff,monto_04_recon_diff,monto_05_tgn_fcom_diff,monto_06_tgn_pg_n_diff,monto_07_tgn_iehd_diff,monto_08_tgn_idh_diff,monto_09_tgn_ipj_diff,monto_10_tgn_ppet_diff,monto_11_ot_gob_diff,monto_12_total_tgn_diff,monto_13_otros_ingresos_diff,monto_14_recursos_especificos_diff,monto_15_donaciones_internas_diff,monto_16_credito_externo_diff,monto_17_donaciones_externas_diff,total_diff
1101,Gobierno Autónomo Municipal de Sucre,14573477,0,246192248,0,0,0,70288976,0,0,0,331054701,0,205732539,0,0,0,0,536787240,14573477,0,246192248,0,0,0,70288976,0,0,0,331054701,0,205732539,0,0,0,0,536787240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,Gobierno Autónomo Municipal de Yotala,32588,0,7760140,0,0,0,2193468,0,0,0,9986196,0,2105568,0,52852,0,0,12144616,32588,0,7760140,0,0,0,2193468,0,0,0,9986196,0,2105568,0,52852,0,0,12144616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,Gobierno Autónomo Municipal de Poroma,145767,0,11340016,0,0,0,3237625,0,0,0,14723408,0,157125,0,412886,0,0,15293419,145767,0,11340016,0,0,0,3237625,0,0,0,14723408,0,157125,0,412886,0,0,15293419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,Gobierno Autónomo Municipal de Villa Azurduy,7183412,0,6535474,0,0,0,1865906,0,0,0,15584792,0,600000,0,0,0,0,16184792,7183412,0,6535474,0,0,0,1865906,0,0,0,15584792,0,600000,0,0,0,0,16184792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,Gobierno Autónomo Municipal de Tarvita (Villa Orías),22696,0,13692820,0,0,0,3909361,0,0,0,17624877,0,1740497,0,0,0,0,19365374,22696,0,13692820,0,0,0,3909361,0,0,0,17624877,0,1740497,0,0,0,0,19365374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),38025,0,11047712,0,0,0,3011418,0,0,0,14097155,0,1797325,0,0,0,0,15894480,38025,0,11047712,0,0,0,3011418,0,0,0,14097155,0,1797325,0,0,0,0,15894480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1107,Gobierno Autónomo Municipal de Presto,815850,0,9995676,0,0,0,2853809,0,0,0,13665335,0,239810,0,476218,0,0,14381363,815850,0,9995676,0,0,0,2853809,0,0,0,13665335,0,239810,0,476218,0,0,14381363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1108,Gobierno Autónomo Municipal de Villa Mojocoya,27938,0,7458306,0,0,0,2129380,0,0,0,9615624,0,900000,0,0,0,0,10515624,27938,0,7458306,0,0,0,2129380,0,0,0,9615624,0,900000,0,0,0,0,10515624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1109,Gobierno Autónomo Municipal de Icla,173458,0,7361034,0,0,0,2101607,0,0,0,9636099,0,310924,0,0,0,0,9947023,173458,0,7361034,0,0,0,2101607,0,0,0,9636099,0,310924,0,0,0,0,9947023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110,Gobierno Autónomo Municipal de Padilla,52050,0,6270264,0,0,0,1790188,0,0,0,8112502,0,6088066,0,0,0,0,14200568,52050,0,6270264,0,0,0,1790188,0,0,0,8112502,0,6088066,0,0,0,0,14200568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1111,Gobierno Autónomo Municipal de Tomina,35663,0,6934536,0,0,0,1979840,0,0,0,8950039,0,618890,0,191793,0,0,9760722,35663,0,6934536,0,0,0,1979840,0,0,0,8950039,0,618890,0,191793,0,0,9760722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,Gobierno Autónomo Municipal de Sopachuy,1184430,0,6024879,0,0,0,1684478,0,0,0,8893787,0,670586,0,0,0,0,9564373,1184430,0,6024879,0,0,0,1684478,0,0,0,8893787,0,670586,0,0,0,0,9564373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1113,Gobierno Autónomo Municipal de Villa Alcalá,2871787,0,3119336,0,0,0,890584,0,0,0,6881707,0,1220000,0,0,0,0,8101707,2871787,0,3119336,0,0,0,890584,0,0,0,6881707,0,1220000,0,0,0,0,8101707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114,Gobierno Autónomo Municipal de El Villar,1477853,0,4685655,0,0,0,1337776,0,0,0,7501284,0,555000,0,0,0,0,8056284,1477853,0,4685655,0,0,0,1337776,0,0,0,7501284,0,555000,0,0,0,0,8056284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1115,Gobierno Autónomo Municipal de Monteagudo,2655702,0,20915586,0,0,0,5812296,0,706930,0,30090514,0,6884315,0,0,0,0,36974829,2655702,0,20915586,0,0,0,5812296,0,706930,0,30090514,0,6884315,0,0,0,0,36974829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1116,Gobierno Autónomo Municipal de San Pablo de Huacareta,3546691,0,5986764,0,0,0,1709248,0,0,0,11242703,0,458983,0,0,0,0,11701686,3546691,0,5986764,0,0,0,1709248,0,0,0,11242703,0,458983,0,0,0,0,11701686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1117,Gobierno Autónomo Municipal de Tarabuco,717128,0,11016610,0,0,0,3145290,0,0,0,14879028,0,500741,0,0,0,0,15379769,717128,0,11016610,0,0,0,3145290,0,0,0,14879028,0,500741,0,0,0,0,15379769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1118,Gobierno Autónomo Municipal de Yamparáez,2258159,0,7597487,0,0,0,2026364,0,0,0,11882010,0,430000,0,0,0,0,12312010,2258159,0,7597487,0,0,0,2026364,0,0,0,11882010,0,430000,0,0,0,0,12312010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
