gestion,codigo_entidad,nombre_entidad,rubro,rubro_padre,nivel_rubro,descripcion,entidad_otorgante,fuente,organismo,importe,es_detalle,es_resumen,file
2026,1101,Gobierno Autónomo Municipal de Sucre,12,,1,VENTA DE BIENES Y SERVICIOS DE LAS ADMINISTRACIONES PÚBLICAS,,,,15764162,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,12.2,12,2,Venta de Servicios de las Administraciones Públicas,0000,20,210,13682519,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,12.2,12,2,Venta de Servicios de las Administraciones Públicas,0000,20,230,2081643,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,13,,1,INGRESOS POR IMPUESTOS,,,,138666007,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,13.3,13,2,Impuestos Municipales,,,,138666007,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,13.3.1,13.3,3,Impuesto a la Propiedad de Bienes Inmuebles,0999,20,210,76000371,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,13.3.3,13.3,3,Impuesto a la Propiedad de Vehículos Automotores,0999,20,210,38865406,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,13.3.6,13.3,3,Impuesto Municipal a la Transferencia de Inmuebles,0999,20,210,21000000,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,13.3.7,13.3,3,IMPUESTO MUNICIPAL A LA TRANSFERENCIA DE VEHÍCULOS AUTOMOTORES,0999,20,210,2800230,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,14,,1,REGALIAS,,,,253437,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,14.1,14,2,Regalías Mineras,0999,20,220,253437,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,15,,1,"TASAS, DERECHOS Y OTROS INGRESOS",,,,43310363,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,15.1,15,2,Tasas,0000,20,210,3163052,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,15.1,15,2,Tasas,0000,20,230,20400000,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,15.2,15,2,Derechos,0000,20,210,4331901,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,15.3,15,2,Patentes y Concesiones,,,,12661095,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,15.3.1,15.3,3,Patentes Forestales,0312,20,230,115,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,15.3.4,15.3,3,Patentes Municipales,0000,20,210,12660980,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,15.9,15,2,Otros Ingresos,,,,2754315,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,15.9.1,15.9,3,Multas,0000,20,210,1545300,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,15.9.2,15.9,3,Intereses Penales,0000,20,210,158035,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,15.9.9,15.9,3,Otros Ingresos no Especificados,0000,20,210,1050980,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,16,,1,INTERESES Y OTRAS RENTAS DE LA PROPIEDAD,,,,7738570,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,16.2,16,2,Dividendos,0000,20,230,5290274,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,16.3,16,2,"Alquiler de Edificios, Tierras y Terrenos",0000,20,210,2448296,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,19,,1,TRANSFERENCIAS CORRIENTES,,,,316865263,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,19.2,19,2,Del Sector Público No Financiero,,,,316865263,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,19.2.1,19.2,3,Del Órgano Ejecutivo,,,,316865263,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,19.2.1.1,19.2.1,4,Por Subsidios o Subvenciones,0099,41,111,384039,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,19.2.1.1,19.2.1,4,Por Subsidios o Subvenciones,0099,41,119,47937083,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,19.2.1.2,19.2.1,4,Por Coparticipación Tributaria,0099,41,113,246192248,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,19.2.1.2,19.2.1,4,Por Coparticipación Tributaria,0099,41,119,22351893,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,23,,1,TRANSFERENCIAS DE CAPITAL,,,,14189438,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,23.2,23,2,Del Sector Público No Financiero,,,,14189438,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,23.2.1,23.2,3,Del Órgano Ejecutivo,,,,13964938,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,23.2.1.1,23.2.1,4,Por Subsidios o Subvenciones,0025,41,111,13964938,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1101,Gobierno Autónomo Municipal de Sucre,23.2.2,23.2,3,"DE LOS ORGANOS LEGISLATIVO, JUDICIAL Y ELECTORAL, ENTIDADES DE CONTROL Y DEFENSA, DESCENTRALIZADAS Y UNIVER.",0287,41,111,224500,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,12,,1,VENTA DE BIENES Y SERVICIOS DE LAS ADMINISTRACIONES PÚBLICAS,,,,235366,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,12.1,12,2,Venta de Bienes de las Administraciones Públicas,0000,20,230,20000,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,12.2,12,2,Venta de Servicios de las Administraciones Públicas,0000,20,210,190000,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,12.2,12,2,Venta de Servicios de las Administraciones Públicas,0000,20,230,25366,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,13,,1,INGRESOS POR IMPUESTOS,,,,1200000,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,13.3,13,2,Impuestos Municipales,,,,1200000,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,13.3.1,13.3,3,Impuesto a la Propiedad de Bienes Inmuebles,0999,20,210,800000,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,13.3.3,13.3,3,Impuesto a la Propiedad de Vehículos Automotores,0999,20,210,80000,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,13.3.6,13.3,3,Impuesto Municipal a la Transferencia de Inmuebles,0999,20,210,300000,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,13.3.7,13.3,3,IMPUESTO MUNICIPAL A LA TRANSFERENCIA DE VEHÍCULOS AUTOMOTORES,0999,20,210,20000,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,14,,1,REGALIAS,,,,11357,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,14.1,14,2,Regalías Mineras,0999,20,220,11357,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,15,,1,"TASAS, DERECHOS Y OTROS INGRESOS",,,,366360,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,15.1,15,2,Tasas,0000,20,210,100000,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,15.3,15,2,Patentes y Concesiones,,,,60000,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,15.3.4,15.3,3,Patentes Municipales,0000,20,210,30000,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,15.3.5,15.3,3,Otras Patentes y Concesiones,0000,20,210,30000,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,15.9,15,2,Otros Ingresos,,,,206360,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,15.9.9,15.9,3,Otros Ingresos no Especificados,0999,20,210,206360,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
