file,filename,codigo_entidad,nombre_entidad,filas,tiene_total_general,status,error
data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf,2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf,1101,Gobierno Autónomo Municipal de Sucre,37,True,ok,
data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf,2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf,1102,Gobierno Autónomo Municipal de Yotala,36,True,ok,
data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf,2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf,1103,Gobierno Autónomo Municipal de Poroma,29,True,ok,
data\raw\sigep_2026\recursos_por_rubro\2026_1104_Gobierno_Autónomo_Municipal_de_Villa_Azurduy_recursos_por_rubro.pdf,2026_1104_Gobierno_Autónomo_Municipal_de_Villa_Azurduy_recursos_por_rubro.pdf,1104,Gobierno Autónomo Municipal de Villa Azurduy,28,True,ok,
data\raw\sigep_2026\recursos_por_rubro\2026_1105_Gobierno_Autónomo_Municipal_de_Tarvita_Villa_Orías_recursos_por_rubro.pdf,2026_1105_Gobierno_Autónomo_Municipal_de_Tarvita_Villa_Orías_recursos_por_rubro.pdf,1105,Gobierno Autónomo Municipal de Tarvita (Villa Orías),25,True,ok,
data\raw\sigep_2026\recursos_por_rubro\2026_1106_Gobierno_Autónomo_Municipal_de_Villa_Zudañez_Tacopaya_recursos_por_rubro.pdf,2026_1106_Gobierno_Autónomo_Municipal_de_Villa_Zudañez_Tacopaya_recursos_por_rubro.pdf,1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),31,True,ok,
data\raw\sigep_2026\recursos_por_rubro\2026_1107_Gobierno_Autónomo_Municipal_de_Presto_recursos_por_rubro.pdf,2026_1107_Gobierno_Autónomo_Municipal_de_Presto_recursos_por_rubro.pdf,1107,Gobierno Autónomo Municipal de Presto,29,True,ok,
data\raw\sigep_2026\recursos_por_rubro\2026_1108_Gobierno_Autónomo_Municipal_de_Villa_Mojocoya_recursos_por_rubro.pdf,2026_1108_Gobierno_Autónomo_Municipal_de_Villa_Mojocoya_recursos_por_rubro.pdf,1108,Gobierno Autónomo Municipal de Villa Mojocoya,25,True,ok,
data\raw\sigep_2026\recursos_por_rubro\2026_1109_Gobierno_Autónomo_Municipal_de_Icla_recursos_por_rubro.pdf,2026_1109_Gobierno_Autónomo_Municipal_de_Icla_recursos_por_rubro.pdf,1109,Gobierno Autónomo Municipal de Icla,22,True,ok,
data\raw\sigep_2026\recursos_por_rubro\2026_1110_Gobierno_Autónomo_Municipal_de_Padilla_recursos_por_rubro.pdf,2026_1110_Gobierno_Autónomo_Municipal_de_Padilla_recursos_por_rubro.pdf,1110,Gobierno Autónomo Municipal de Padilla,31,True,ok,
data\raw\sigep_2026\recursos_por_rubro\2026_1111_Gobierno_Autónomo_Municipal_de_Tomina_recursos_por_rubro.pdf,2026_1111_Gobierno_Autónomo_Municipal_de_Tomina_recursos_por_rubro.pdf,1111,Gobierno Autónomo Municipal de Tomina,31,True,ok,
