gestion,codigo_entidad,nombre_entidad,total_general_ingresos,file
2026,1101,Gobierno Autónomo Municipal de Sucre,536787240,data\raw\sigep_2026\recursos_por_rubro\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,12144616,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,15293419,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1104,Gobierno Autónomo Municipal de Villa Azurduy,16184792,data\raw\sigep_2026\recursos_por_rubro\2026_1104_Gobierno_Autónomo_Municipal_de_Villa_Azurduy_recursos_por_rubro.pdf
2026,1105,Gobierno Autónomo Municipal de Tarvita (Villa Orías),19365374,data\raw\sigep_2026\recursos_por_rubro\2026_1105_Gobierno_Autónomo_Municipal_de_Tarvita_Villa_Orías_recursos_por_rubro.pdf
2026,1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),15894480,data\raw\sigep_2026\recursos_por_rubro\2026_1106_Gobierno_Autónomo_Municipal_de_Villa_Zudañez_Tacopaya_recursos_por_rubro.pdf
2026,1107,Gobierno Autónomo Municipal de Presto,14381363,data\raw\sigep_2026\recursos_por_rubro\2026_1107_Gobierno_Autónomo_Municipal_de_Presto_recursos_por_rubro.pdf
2026,1108,Gobierno Autónomo Municipal de Villa Mojocoya,10515624,data\raw\sigep_2026\recursos_por_rubro\2026_1108_Gobierno_Autónomo_Municipal_de_Villa_Mojocoya_recursos_por_rubro.pdf
2026,1109,Gobierno Autónomo Municipal de Icla,9947023,data\raw\sigep_2026\recursos_por_rubro\2026_1109_Gobierno_Autónomo_Municipal_de_Icla_recursos_por_rubro.pdf
2026,1110,Gobierno Autónomo Municipal de Padilla,14200568,data\raw\sigep_2026\recursos_por_rubro\2026_1110_Gobierno_Autónomo_Municipal_de_Padilla_recursos_por_rubro.pdf
2026,1111,Gobierno Autónomo Municipal de Tomina,9760722,data\raw\sigep_2026\recursos_por_rubro\2026_1111_Gobierno_Autónomo_Municipal_de_Tomina_recursos_por_rubro.pdf
2026,1112,Gobierno Autónomo Municipal de Sopachuy,9564373,data\raw\sigep_2026\recursos_por_rubro\2026_1112_Gobierno_Autónomo_Municipal_de_Sopachuy_recursos_por_rubro.pdf
2026,1113,Gobierno Autónomo Municipal de Villa Alcalá,8101707,data\raw\sigep_2026\recursos_por_rubro\2026_1113_Gobierno_Autónomo_Municipal_de_Villa_Alcalá_recursos_por_rubro.pdf
2026,1114,Gobierno Autónomo Municipal de El Villar,8056284,data\raw\sigep_2026\recursos_por_rubro\2026_1114_Gobierno_Autónomo_Municipal_de_El_Villar_recursos_por_rubro.pdf
2026,1115,Gobierno Autónomo Municipal de Monteagudo,36974829,data\raw\sigep_2026\recursos_por_rubro\2026_1115_Gobierno_Autónomo_Municipal_de_Monteagudo_recursos_por_rubro.pdf
2026,1116,Gobierno Autónomo Municipal de San Pablo de Huacareta,11701686,data\raw\sigep_2026\recursos_por_rubro\2026_1116_Gobierno_Autónomo_Municipal_de_San_Pablo_de_Huacareta_recursos_por_rubro.pdf
