codigo_entidad,nombre_entidad,total_detalle,total_general_ingresos,total_diff
1101,Gobierno Autónomo Municipal de Sucre,536787240,536787240,0
1102,Gobierno Autónomo Municipal de Yotala,12144616,12144616,0
1103,Gobierno Autónomo Municipal de Poroma,15293419,15293419,0
1104,Gobierno Autónomo Municipal de Villa Azurduy,16184792,16184792,0
1105,Gobierno Autónomo Municipal de Tarvita (Villa Orías),19365374,19365374,0
1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),15894480,15894480,0
1107,Gobierno Autónomo Municipal de Presto,14381363,14381363,0
1108,Gobierno Autónomo Municipal de Villa Mojocoya,10515624,10515624,0
1109,Gobierno Autónomo Municipal de Icla,9947023,9947023,0
1110,Gobierno Autónomo Municipal de Padilla,14200568,14200568,0
1111,Gobierno Autónomo Municipal de Tomina,9760722,9760722,0
1112,Gobierno Autónomo Municipal de Sopachuy,9564373,9564373,0
1113,Gobierno Autónomo Municipal de Villa Alcalá,8101707,8101707,0
1114,Gobierno Autónomo Municipal de El Villar,8056284,8056284,0
1115,Gobierno Autónomo Municipal de Monteagudo,36974829,36974829,0
1116,Gobierno Autónomo Municipal de San Pablo de Huacareta,11701686,11701686,0
1117,Gobierno Autónomo Municipal de Tarabuco,15379769,15379769,0
1118,Gobierno Autónomo Municipal de Yamparáez,12312010,12312010,0
1119,Gobierno Autónomo Municipal de Camargo,18125225,18125225,0
1120,Gobierno Autónomo Municipal de San Lucas,48664005,48664005,0
1121,Gobierno Autónomo Municipal de Incahuasi,20133393,20133393,0
1122,Gobierno Autónomo Municipal de Villa Serrano,12924183,12924183,0
1123,Gobierno Autónomo Municipal de Camataqui (Villa Abecia),6082776,6082776,0
1124,Gobierno Autónomo Municipal de Culpina,21907961,21907961,0
1125,Gobierno Autónomo Municipal de Las Carreras,14015349,14015349,0
1126,Gobierno Autónomo Municipal de Villa Vaca Guzmán,16368235,16368235,0
1128,Gobierno Autónomo Municipal de Machareti,9269406,9269406,0
1129,Gobierno Autónomo Municipal de Villa Charcas,17118963,17118963,0
1201,Gobierno Autónomo Municipal de La Paz,1724178990,1724178990,0
1202,Gobierno Autónomo Municipal de Palca,38601942,38601942,0
1203,Gobierno Autónomo Municipal de Mecapaca,27231767,27231767,0
1204,Gobierno Autónomo Municipal Ecológico Productivo de Achocalla,110473572,110473572,0
1205,Gobierno Autónomo Municipal de El Alto de La Paz,1490573041,1490573041,0
1206,Gobierno Autónomo Municipal de Viacha,185661872,185661872,0
1207,Gobierno Autónomo Municipal de Guaqui,8793424,8793424,0
1208,Gobierno Autónomo Municipal de Tiahuanacu,13479705,13479705,0
1209,Gobierno Autónomo Municipal de Desaguadero,13436897,13436897,0
1210,Gobierno Autónomo Municipal de Caranavi,87897286,87897286,0
1211,Gobierno Autónomo Municipal de Sica Sica (Villa Aroma),38535569,38535569,0
1212,Gobierno Autónomo Municipal de Umala,14643089,14643089,0
1213,Gobierno Autónomo Municipal de Ayo Ayo,11357460,11357460,0
1214,Gobierno Autónomo Municipal de Calamarca,37537262,37537262,0
1215,Gobierno Autónomo Municipal de Patacamaya,28743849,28743849,0
1216,Gobierno Autónomo Municipal de Colquencha,12947346,12947346,0
1217,Gobierno Autónomo Municipal de Collana,8833532,8833532,0
1218,Gobierno Autónomo Municipal de Inquisivi,23286166,23286166,0
1219,Gobierno Autónomo Municipal de Quime,12239928,12239928,0
1220,Gobierno Autónomo Municipal de Cajuata,16790899,16790899,0
1221,Gobierno Autónomo Municipal de Colquiri,29951096,29951096,0
1222,Gobierno Autónomo Municipal de Ichoca,9486150,9486150,0
1223,Gobierno Autónomo Municipal de Villa Libertad Licoma,7475587,7475587,0
1224,Gobierno Autónomo Municipal de Achacachi,45067967,45067967,0
1225,Gobierno Autónomo Municipal de Ancoraimes,22464885,22464885,0
1226,Gobierno Autónomo Municipal de Sorata,38465729,38465729,0
1227,Gobierno Autónomo Municipal de Guanay,20610091,20610091,0
1228,Gobierno Autónomo Municipal de Tacacoma,10632316,10632316,0
1229,Gobierno Autónomo Municipal de Tipuani,13374478,13374478,0
1230,Gobierno Autónomo Municipal de Quiabaya,4281427,4281427,0
1231,Gobierno Autónomo Municipal de Combaya,3478989,3478989,0
1232,Gobierno Autónomo Municipal de Copacabana,19251842,19251842,0
1233,Gobierno Autónomo Municipal de San Pedro de Tiquina,8560323,8560323,0
1234,Gobierno Autónomo Municipal de Tito Yupanqui,6950684,6950684,0
1235,Gobierno Autónomo Municipal de Chuma,16437519,16437519,0
1236,Gobierno Autónomo Municipal de Ayata,9509993,9509993,0
1237,Gobierno Autónomo Municipal de Aucapata,6443660,6443660,0
1238,Gobierno Autónomo Municipal de Corocoro,15484722,15484722,0
1239,Gobierno Autónomo Municipal de Caquiaviri,14233739,14233739,0
1240,Gobierno Autónomo Municipal de Calacoto,11257213,11257213,0
1241,Gobierno Autónomo Municipal de Comanche,5349775,5349775,0
1242,Gobierno Autónomo Municipal de Charaña,5100585,5100585,0
1243,Gobierno Autónomo Municipal de Waldo Ballivián,6363941,6363941,0
1244,Gobierno Autónomo Municipal de Nazacara de Pacajes,3711909,3711909,0
1245,Gobierno Autónomo Municipal de Santiago de Callapa,7949954,7949954,0
1246,Gobierno Autónomo Municipal de Puerto Acosta,17894764,17894764,0
1247,Gobierno Autónomo Municipal de Mocomoco,18856701,18856701,0
1248,Gobierno Autónomo Municipal de Carabuco,18411309,18411309,0
1249,Gobierno Autónomo Municipal de Apolo,18833316,18833316,0
1250,Gobierno Autónomo Municipal de Pelechuco,11659479,11659479,0
1251,Gobierno Autónomo Municipal de Luribay,10677161,10677161,0
