objeto_gasto,descripcion,filas,entidades,total_bs
1.1.2.20,Bono de Antigûedad,139,139,778466414.0
1.1.3.10,Bono de Frontera,18,18,80636283.0
1.1.3.21,Categorías Médicas,9,9,410196555.0
1.1.3.22,Escalafón Médico,9,9,257097793.0
1.1.3.23,ESCALAFÓN DE LOS TRABAJADORES EN SALUD,9,9,9837610.0
1.1.3.24,Otras Remuneraciones,9,9,33975428.0
1.1.4,Aguinaldos,254,254,479591790.0
1.1.6,Asignaciones Familiares,185,185,79638661.0
1.1.7,Sueldos,254,254,3971117372.0
1.1.8.20,Otras Dietas,2,2,3166097.0
1.1.9.10,Horas Extraordinarias,9,9,140863771.0
1.2.1,Personal Eventual,103,103,1452284498.0
1.3.1.10,Régimen de Corto Plazo (Salud),288,265,715310322.0
1.3.1.20,PRIMA DE RIESGO PROFESIONAL RÉGIMEN DE LARGO PLAZO,264,264,122219907.0
1.3.1.31,Aporte Patronal Solidario 3.5%,264,264,250150514.0
1.3.2,Aporte Patronal para Vivienda,264,264,142934523.0
1.5.4,Otras Previsiones,254,254,771854080.0
2.1.1,Comunicaciones,166,166,3066171.0
2.1.2,Energía Eléctrica,308,308,653670453.0
2.1.3,Agua,209,209,99768110.0
2.1.4,TELEFONÍA,256,256,21088425.0
2.1.5,Gas Domiciliario,63,63,6594846.0
2.1.6,INTERNET,289,289,56959270.0
2.2.1.10,Pasajes al Interior del País,258,258,16354347.0
2.2.1.20,Pasajes al Exterior del País,31,31,1791679.0
2.2.2.10,Viáticos por Viajes al Interior del País,251,251,33369445.0
2.2.2.20,Viáticos por Viajes al Exterior del País,45,45,2297820.0
2.2.3,Fletes y Almacenamiento,215,215,21658987.0
2.2.5,Seguros,232,232,96440567.0
2.2.6,Transporte de Personal,104,104,13044413.0
2.3.1,ALQUILER DE INMUEBLES,109,109,13446799.0
2.3.2,Alquiler de Equipos y Maquinarias,200,200,85525168.0
2.3.3,Alquiler de Tierras y Terrenos,4,4,54250.0
2.3.4,Otros Alquileres,109,109,8016082.0
2.4.1.10,Mantenimiento y Reparación de Inmuebles,240,240,318365165.0
2.4.1.20,"M Y A E N Q T U E IP N O IM S IENTO Y REPARACIÓN DE VEHÍCULOS, MAQUINARIA",305,305,186579828.0
2.4.1.30,Mantenimiento y Reparación de Muebles y Enseres,77,77,3065287.0
2.4.2,Mantenimiento y Reparación de Vías de Comunicación,101,101,164100235.0
2.4.3,"O Re tr p o a s r G ac a ió st n os por Concepto de Instalación, Mantenimiento y",140,140,477380155.0
2.5.1.20,GASTOS ESPECIALIZADOS POR ATENCIÓN MÉDICA Y OTROS,263,263,280533300.0
2.5.2.10,Consultorías por Producto,156,156,37560122.0
2.5.2.20,CONSULTORES INDIVIDUALES DE LÍNEA,241,241,1103908411.0
2.5.2.30,AUDITORÍAS EXTERNAS,194,194,20992017.0
2.5.3,Comisiones y Gastos Bancarios,225,225,55965284.0
2.5.4,"Lavandería, Limpieza e Higiene",70,70,1037319341.0
2.5.5,Publicidad,219,219,57419936.0
2.5.6,"Servicios de Imprenta, Fotocopiado y Fotográficos",299,299,70204994.0
2.5.7,Capacitación del Personal,85,85,2493960.0
2.5.8.10,CONSULTORÍAS POR PRODUCTO,1,1,513372.0
2.5.8.20,CONSULTORES INDIVIDUALES DE LÍNEA,3,3,2692280.0
2.5.9,Servicios Manuales,258,258,102889099.0
2.6.2,Gastos Judiciales,231,231,9185480.0
2.6.3,Derechos sobre Bienes Intangibles,26,26,2856833.0
2.6.6.10,Servicios Públicos,18,18,6056697.0
2.6.6.20,Servicios Privados,15,15,27007119.0
2.6.6.30,SERVICIOS POR TRASLADO DE VALORES,2,2,68000.0
2.6.7,SERVICIOS DE LABORATORIOS ESPECIALIZADOS,62,62,4245195.0
2.6.9.10,Gastos de Representación,8,8,65993.0
2.6.9.30,Pago por Trabajos Dirigidos y Pasantías,32,32,831875.0
2.6.9.90,Otros,348,348,864813954.0
3.1.1.10,EVENTUAL Y CONSULTORES INDIVIDUALES DE LÍNEA DE LAS,167,167,132303539.0
3.1.1.20,Gastos por Alimentación y Otros Similares,304,304,62593720.0
3.1.1.30,Alimentación Complementaria Escolar,285,285,892739947.0
3.1.1.40,"A Y L O IM T E R N A T S A E C S IÓ PE N C H ÍF O IC SP A I S TALARIA, PENITENCIARIA, AERONAVES",221,221,309532164.0
3.1.1.50,A na lim tu e ra n l t e o s s y Bebidas para la atención de emergencias y desastres,63,63,2827322.0
3.1.2,Alimentos para Animales,59,59,9375502.0
3.1.3,"Productos Agrícolas, Pecuarios y Forestales",256,256,56061964.0
3.2.1,Papel,283,283,52145092.0
3.2.2,Productos de Artes Gráficas,195,195,51739602.0
3.2.3,"Libros, Manuales y Revistas",33,33,613375.0
3.2.4,Textos de Enseñanza,9,9,74200.0
3.2.5,Periódicos y Boletines,31,31,578656.0
3.3.1,"HILADOS, TELAS, FIBRAS Y ALGODÓN",167,167,5375900.0
3.3.2,Confecciones Textiles,181,181,25229430.0
3.3.3,Prendas de Vestir,249,249,47606325.0
3.3.4,Calzados,147,147,10865159.0
3.4.1.10,"Combustibles, Lubricantes y Derivados para Consumo",313,313,292644050.0
3.4.2,Productos Químicos y Farmacéuticos,318,318,1268938162.0
3.4.3,Llantas y Neumáticos,269,269,59451621.0
3.4.4,Productos de Cuero y Caucho,74,74,2390434.0
3.4.5,Productos de Minerales no Metálicos y Plásticos,285,285,163669968.0
3.4.6,Productos Metálicos,246,246,68314829.0
3.4.7,Minerales,115,115,45638043.0
3.4.8,Herramientas Menores,239,239,25240184.0
3.4.9,Material y Equipo Militar,6,6,100033.0
3.9.1,MATERIAL DE LIMPIEZA E HIGIENE,303,303,72700830.0
3.9.2,Material Deportivo y Recreativo,284,284,56090025.0
3.9.3,Utensilios de Cocina y Comedor,121,121,2459211.0
3.9.4,Instrumental Menor Médico-Quirúrgico,178,178,81741461.0
3.9.5,ÚTILES DE ESCRITORIO Y OFICINA,308,308,145581816.0
3.9.6,"ÚTILES EDUCACIONALES, CULTURALES Y DE CAPACITACIÓN",180,180,18312496.0
3.9.7,ÚTILES Y MATERIALES ELÉCTRICOS,300,300,131505916.0
3.9.8,Otros Repuestos y Accesorios,278,278,134604340.0
3.9.9.90,Otros Materiales y Suministros,226,226,58694898.0
4.1.2,Tierras y Terrenos,22,22,26075949.0
4.2.2.30,O Pr t i r v a a s d C o onstrucciones y Mejoras de Bienes Públicos de Dominio,212,212,1824232603.0
4.2.2.40,S D u o p m e in rv io is i ó P n ri v d a e d C o onstrucciones y Mejoras de Bienes Públicos de,134,134,54652993.0
4.2.3.10,Construcciones y Mejoras de Bienes de Dominio Público,103,103,2081166986.0
4.2.3.20,S P u ú p b e lic rv o isión de Construcciones y Mejoras de Bienes de Dominio,43,43,93006068.0
4.2.4,C Pr o iv n a s d tr o u c - c L io la n v e e s e y n M M e a jo n r o as de Bienes Públicos Nacionales de Dominio,2,2,66391061.0
4.3.1.10,Equipo de Oficina y Muebles,264,264,47293283.0
4.3.1.20,Equipo de Computación,243,243,72251804.0
4.3.2,Maquinaria y Equipo de Producción,76,76,60849668.0
4.3.3.10,Vehículos Livianos para Funciones Administrativas,35,35,41758891.0
4.3.3.20,Vehículos Livianos para Proyectos de Inversión Pública,1,1,2748813.0
4.3.3.30,MAQUINARIA Y EQUIPO DE TRANSPORTE,29,29,98868983.0
4.3.3.40,Equipo de Elevación,5,5,189079.0
4.3.4,Equipo Médico y de Laboratorio,169,169,114091195.0
4.3.5,Equipo de Comunicación,115,115,23651726.0
4.3.6,Equipo Educacional y Recreativo,184,184,53209467.0
4.3.7,Otra Maquinaria y Equipo,172,172,42151554.0
4.6.1.10,C BI O E N N S E U S L P T Ú O B R L ÍA IC P O O S R D P E R D O O D M U I C N T IO O P P R A I R VA A D C O ONSTRUCCIONES DE,21,21,19346189.0
4.6.1.20,C PÚ O B N L S I U C L O T S O D R E ÍA D D O E M L IN ÍN IO EA P P R A IV R A A D C O ONSTRUCCIONES DE BIENES,2,2,107500.0
4.6.2.10,C BI O E N N S E U S L P T Ú O B R L ÍA IC P O O S R D P E R D O O D M U I C N T IO O P P Ú A B R L A IC C O ONSTRUCCIONES DE,15,15,15255768.0
4.6.2.20,C PÚ O B N L S I U C L O T S O D R E ÍA D D O E M L IN ÍN IO EA P P Ú A B R LI A C O CONSTRUCCIONES DE BIENES,5,5,3431085.0
4.6.3.10,Consultoría por Producto,52,52,17118927.0
4.6.3.20,CONSULTORÍA DE LÍNEA,9,9,1339302.0
4.9.1,Activos Intangibles,17,17,4480771.0
4.9.3,Activos de Origen Animal,6,6,281300.0
4.9.4,Activos Museológicos y Culturales,3,3,314651.0
4.9.9,Otros,7,7,1227300.0
5.4.8,Concesión de Préstamos a Largo Plazo al Sector Privado,1,1,15480000.0
5.6.1,Colocación de Fondos en Fideicomiso,1,1,2000000.0
5.7.1,Incremento de Caja y Bancos,116,116,510880514.0
6.1.1,Amortización de la Deuda Pública Interna a Corto Plazo,173,161,784798043.0
6.1.2,Intereses de la Deuda Pública Interna a Corto Plazo,176,163,226882922.0
6.1.3,C Pl o a m zo isiones y Otros Gastos de la Deuda Pública Interna a Corto,6,6,1172946.0
6.1.6,Amortización de la Deuda Pública Interna a Largo Plazo,43,40,179695425.0
6.1.7,Intereses de la Deuda Pública Interna a Largo Plazo,43,40,38106850.0
6.1.8,C Pl o a m zo isiones y Otros Gastos de la Deuda Pública Interna a Largo,1,1,3386.0
6.2.1,Amortización de la Deuda Pública Externa a Corto Plazo,9,9,146521230.0
6.2.2,Intereses de la Deuda Pública Externa a Corto Plazo,10,10,60516008.0
